id,age,gender,region,income,married,children,car,save_act,current_act,mortgage,pl
ID12269,37,FEMALE,TOWN,26707.5,NO,0,YES,YES,YES,NO,NO
ID12270,56,MALE,INNER_CITY,34020.5,YES,0,NO,NO,YES,NO,NO
ID12271,52,MALE,INNER_CITY,49175.7,YES,0,YES,YES,YES,NO,NO
ID12272,22,MALE,INNER_CITY,19726.3,YES,2,NO,NO,YES,NO,NO
ID12273,35,MALE,INNER_CITY,24346.6,YES,3,YES,YES,YES,NO,NO
ID12274,34,MALE,RURAL,26999.4,YES,1,YES,YES,YES,NO,YES
ID12275,67,FEMALE,TOWN,41558.1,YES,2,NO,YES,YES,NO,YES
ID12276,58,FEMALE,INNER_CITY,56340.3,NO,0,NO,YES,YES,NO,YES
ID12277,40,MALE,TOWN,37558.5,YES,0,YES,YES,YES,NO,NO
ID12278,41,FEMALE,INNER_CITY,30099.3,YES,0,YES,YES,YES,YES,YES
ID12279,43,MALE,INNER_CITY,15254.8,YES,0,NO,NO,NO,NO,YES
ID12280,63,MALE,INNER_CITY,36086.1,YES,2,NO,NO,YES,NO,YES
ID12281,22,FEMALE,INNER_CITY,17655,YES,1,NO,YES,YES,YES,YES
ID12282,60,MALE,RURAL,56658.9,NO,0,NO,YES,YES,NO,YES
ID12283,65,FEMALE,INNER_CITY,37706.5,NO,0,YES,YES,YES,YES,NO
ID12284,48,FEMALE,INNER_CITY,18516,YES,2,YES,YES,YES,YES,NO
ID12285,38,FEMALE,INNER_CITY,29622,NO,0,YES,YES,NO,YES,NO
ID12286,49,MALE,RURAL,32669.9,YES,1,YES,YES,YES,YES,YES
ID12287,20,FEMALE,INNER_CITY,18275.5,YES,0,NO,NO,NO,YES,YES
ID12288,48,FEMALE,TOWN,34410,YES,1,NO,NO,YES,NO,YES
ID12289,38,MALE,INNER_CITY,34866.9,YES,2,YES,NO,YES,YES,NO
ID12290,41,FEMALE,INNER_CITY,21796.6,YES,0,NO,NO,YES,NO,NO
ID12291,67,FEMALE,SUBURBAN,63130.1,YES,2,YES,YES,YES,NO,YES
ID12292,39,MALE,INNER_CITY,14996.4,YES,1,YES,YES,NO,NO,NO
ID12293,64,FEMALE,RURAL,49024.9,YES,3,NO,YES,YES,NO,YES
ID12294,41,MALE,INNER_CITY,16249.8,YES,0,YES,NO,YES,YES,YES
ID12295,55,MALE,SUBURBAN,36192.1,YES,2,YES,NO,YES,NO,YES
ID12296,52,MALE,INNER_CITY,17839.9,YES,1,NO,YES,NO,YES,YES
ID12297,30,FEMALE,INNER_CITY,18802.4,NO,0,NO,NO,YES,YES,YES
ID12298,52,MALE,INNER_CITY,48720.3,YES,2,YES,YES,YES,NO,YES
ID12299,26,MALE,INNER_CITY,14585.9,NO,2,NO,NO,YES,YES,NO
ID12300,26,FEMALE,INNER_CITY,20819,YES,0,NO,YES,YES,NO,YES
ID12301,46,MALE,TOWN,26077.8,YES,1,YES,YES,YES,NO,YES
ID12302,46,FEMALE,TOWN,41627.1,YES,0,NO,YES,YES,YES,NO
ID12303,52,MALE,INNER_CITY,16977.3,YES,0,NO,NO,YES,NO,NO
ID12304,37,MALE,INNER_CITY,19012.8,NO,3,YES,NO,YES,NO,NO
ID12305,22,MALE,INNER_CITY,12764.8,YES,1,NO,YES,YES,YES,YES
ID12306,18,MALE,INNER_CITY,14388.6,NO,0,YES,NO,YES,YES,YES
ID12307,63,MALE,INNER_CITY,59409.1,NO,0,YES,YES,YES,NO,YES
ID12308,25,FEMALE,INNER_CITY,14960.2,YES,0,NO,YES,YES,YES,NO
ID12309,67,MALE,INNER_CITY,39666.6,YES,0,YES,YES,YES,NO,NO
ID12310,27,MALE,INNER_CITY,20771.9,NO,0,NO,YES,NO,NO,YES
ID12311,61,MALE,INNER_CITY,24474.1,NO,0,YES,NO,NO,NO,YES
ID12312,58,MALE,TOWN,33123.7,YES,1,YES,YES,YES,NO,YES
ID12313,22,MALE,INNER_CITY,14433.4,YES,0,YES,YES,YES,NO,YES
ID12314,28,MALE,TOWN,13175.5,NO,1,NO,NO,YES,NO,YES
ID12315,23,MALE,INNER_CITY,9824.37,YES,0,NO,YES,YES,NO,NO
ID12316,27,MALE,SUBURBAN,17610.3,YES,0,NO,YES,YES,NO,NO
ID12317,27,FEMALE,SUBURBAN,15156.2,YES,0,YES,NO,YES,NO,NO
ID12318,40,FEMALE,INNER_CITY,31774.1,YES,3,YES,YES,YES,YES,NO
ID12319,39,MALE,TOWN,31693.5,NO,0,YES,YES,NO,NO,YES
ID12320,35,FEMALE,INNER_CITY,28598.7,YES,0,YES,YES,YES,NO,NO
ID12321,37,FEMALE,INNER_CITY,26261.7,NO,2,YES,NO,NO,NO,NO
ID12322,47,MALE,INNER_CITY,42124.1,YES,2,NO,YES,YES,NO,YES
ID12323,42,FEMALE,INNER_CITY,39308.7,YES,1,NO,YES,YES,NO,YES
ID12324,67,FEMALE,INNER_CITY,43530,YES,0,NO,YES,YES,YES,NO
ID12325,57,MALE,RURAL,49874.4,YES,3,NO,YES,YES,NO,YES
ID12326,47,FEMALE,RURAL,27434.8,NO,0,YES,YES,YES,NO,YES
ID12327,67,MALE,INNER_CITY,50474.6,YES,2,YES,YES,YES,NO,YES
ID12328,56,MALE,TOWN,24888.2,NO,0,NO,YES,YES,NO,YES
ID12329,37,MALE,RURAL,28021.6,NO,0,YES,NO,YES,YES,YES
ID12330,27,MALE,INNER_CITY,12279.5,NO,0,YES,NO,NO,NO,YES
ID12331,59,FEMALE,INNER_CITY,30189.4,YES,0,YES,NO,YES,YES,YES
ID12332,31,MALE,INNER_CITY,28969.4,NO,1,NO,NO,YES,YES,NO
ID12333,31,MALE,SUBURBAN,14058.5,YES,0,NO,NO,YES,YES,YES
ID12334,32,FEMALE,TOWN,30404.3,YES,0,YES,YES,YES,NO,NO
ID12335,57,FEMALE,RURAL,41438.2,NO,3,NO,YES,NO,NO,NO
ID12336,49,FEMALE,INNER_CITY,16711.3,NO,1,NO,YES,YES,YES,YES
ID12337,65,MALE,TOWN,52255.9,NO,2,YES,YES,YES,NO,YES
ID12338,22,FEMALE,INNER_CITY,17866.9,YES,2,NO,YES,YES,YES,NO
ID12339,26,FEMALE,RURAL,18067.5,YES,2,NO,YES,NO,NO,NO
ID12340,23,MALE,INNER_CITY,12823.7,YES,0,YES,YES,YES,NO,NO
ID12341,26,FEMALE,RURAL,11299.3,YES,2,YES,NO,NO,NO,NO
ID12342,59,FEMALE,INNER_CITY,56031.1,NO,0,YES,YES,YES,NO,YES
ID12343,67,MALE,INNER_CITY,35263.5,YES,1,YES,YES,YES,NO,YES
ID12344,34,FEMALE,INNER_CITY,19968.1,YES,0,YES,YES,YES,NO,NO
ID12345,50,MALE,RURAL,27825.5,YES,2,YES,YES,NO,NO,NO
ID12346,46,MALE,SUBURBAN,37773.9,NO,0,YES,YES,YES,YES,NO
ID12347,23,FEMALE,INNER_CITY,7606.25,NO,3,YES,NO,NO,NO,NO
ID12348,26,MALE,RURAL,21384.4,YES,0,NO,NO,YES,NO,NO
ID12349,40,MALE,TOWN,20347,YES,3,NO,YES,YES,NO,NO
ID12350,36,MALE,TOWN,21332.3,YES,3,YES,NO,YES,NO,NO
ID12351,65,MALE,INNER_CITY,57671.7,NO,0,NO,YES,YES,YES,NO
ID12352,45,FEMALE,TOWN,36057.8,YES,1,YES,YES,YES,YES,YES
ID12353,23,MALE,INNER_CITY,14290.5,YES,2,NO,NO,YES,YES,NO
ID12354,42,FEMALE,TOWN,17882.9,YES,1,NO,NO,NO,NO,YES
ID12355,21,FEMALE,RURAL,10629.1,NO,3,NO,YES,YES,YES,NO
ID12356,62,FEMALE,INNER_CITY,24262.8,NO,0,YES,NO,YES,NO,YES
ID12357,49,FEMALE,SUBURBAN,26097.9,NO,2,NO,YES,YES,NO,NO
ID12358,28,FEMALE,TOWN,23371,YES,2,NO,NO,YES,YES,NO
ID12359,38,FEMALE,TOWN,21495.6,NO,3,NO,NO,YES,YES,NO
ID12360,36,MALE,TOWN,12166.9,NO,0,NO,NO,NO,NO,NO
ID12361,22,MALE,SUBURBAN,17180.2,YES,0,NO,YES,YES,NO,NO
ID12362,40,FEMALE,TOWN,28882.3,YES,1,NO,YES,YES,YES,YES
ID12363,40,FEMALE,TOWN,21612.2,YES,0,NO,NO,YES,NO,NO
ID12364,60,FEMALE,INNER_CITY,46358.4,YES,0,YES,YES,YES,YES,NO
ID12365,23,MALE,INNER_CITY,19166,NO,0,YES,YES,NO,NO,YES
ID12366,21,MALE,INNER_CITY,17921.8,YES,1,YES,NO,NO,NO,YES
ID12367,58,MALE,TOWN,33229,NO,0,YES,YES,YES,NO,YES
ID12368,48,FEMALE,SUBURBAN,30396.1,NO,0,NO,YES,YES,NO,YES
ID12369,63,FEMALE,TOWN,34625.2,YES,0,YES,NO,YES,NO,NO
ID12370,20,MALE,TOWN,16672.8,NO,3,YES,NO,YES,YES,NO
ID12371,67,FEMALE,SUBURBAN,60747.5,NO,2,NO,YES,YES,YES,YES
ID12372,62,FEMALE,INNER_CITY,56394.3,NO,0,YES,YES,YES,NO,YES
ID12373,36,MALE,TOWN,13236.4,YES,0,NO,YES,YES,NO,NO
ID12374,31,MALE,INNER_CITY,28409.4,YES,1,YES,NO,YES,NO,YES
ID12375,42,FEMALE,INNER_CITY,27056.5,YES,0,YES,YES,YES,NO,NO
ID12376,18,MALE,RURAL,9362.58,YES,0,YES,NO,YES,YES,YES
ID12377,46,FEMALE,SUBURBAN,28702.7,NO,1,NO,YES,YES,YES,YES
ID12378,25,MALE,TOWN,22366.1,YES,1,YES,YES,YES,NO,YES
ID12379,65,FEMALE,RURAL,24477.5,NO,0,NO,YES,NO,YES,NO
ID12380,40,MALE,TOWN,36972.4,YES,1,NO,NO,YES,YES,YES
ID12381,32,MALE,INNER_CITY,22327.8,YES,1,NO,NO,NO,NO,YES
ID12382,18,FEMALE,INNER_CITY,15610.2,YES,0,NO,YES,YES,NO,NO
ID12383,64,MALE,INNER_CITY,54314.5,YES,1,YES,YES,NO,NO,YES
ID12384,43,FEMALE,INNER_CITY,39175.8,YES,3,NO,YES,YES,YES,NO
ID12385,22,FEMALE,INNER_CITY,13739,YES,3,NO,YES,YES,NO,NO
ID12386,25,MALE,TOWN,9485.84,YES,0,NO,NO,NO,NO,NO
ID12387,39,MALE,INNER_CITY,24675.7,YES,1,YES,YES,YES,YES,YES
ID12388,58,FEMALE,INNER_CITY,28253.6,YES,3,NO,NO,YES,NO,NO
ID12389,33,MALE,INNER_CITY,14136.5,YES,1,NO,YES,NO,NO,NO
ID12390,52,FEMALE,RURAL,37162.1,YES,1,YES,YES,YES,NO,YES
ID12391,23,MALE,INNER_CITY,13519.2,NO,0,NO,YES,YES,NO,YES
ID12392,44,FEMALE,INNER_CITY,39253.6,NO,0,YES,YES,NO,NO,YES
ID12393,51,MALE,RURAL,46323.8,YES,2,YES,YES,YES,YES,YES
ID12394,26,FEMALE,TOWN,20950.7,YES,0,NO,YES,YES,NO,NO
ID12395,42,MALE,TOWN,22495.7,YES,0,NO,YES,NO,YES,NO
ID12396,34,MALE,TOWN,32548.9,YES,0,YES,YES,YES,YES,NO
ID12397,54,FEMALE,RURAL,24583.4,NO,2,YES,YES,YES,YES,NO
ID12398,18,MALE,RURAL,8639.24,YES,2,NO,NO,NO,NO,NO
ID12399,47,FEMALE,INNER_CITY,17139.5,NO,2,YES,NO,YES,NO,NO
ID12400,24,FEMALE,INNER_CITY,13667.7,YES,0,NO,YES,YES,NO,NO
ID12401,19,FEMALE,INNER_CITY,8162.42,YES,1,YES,YES,YES,YES,NO
ID12402,37,FEMALE,TOWN,15349.6,YES,0,NO,YES,NO,NO,NO
ID12403,45,FEMALE,TOWN,29231.4,YES,0,NO,YES,NO,NO,NO
ID12404,49,MALE,RURAL,41462.3,YES,3,NO,YES,YES,YES,NO
ID12405,67,FEMALE,RURAL,57398.1,NO,3,NO,YES,YES,NO,YES
ID12406,35,FEMALE,RURAL,11520.8,YES,0,NO,NO,YES,NO,NO
ID12407,63,MALE,INNER_CITY,52117.3,NO,2,YES,YES,YES,NO,YES
ID12408,38,MALE,RURAL,26281.4,NO,0,YES,YES,YES,NO,YES
ID12409,48,MALE,TOWN,25683.4,NO,2,YES,YES,YES,NO,NO
ID12410,28,FEMALE,INNER_CITY,11920.7,NO,1,NO,YES,YES,NO,NO
ID12411,46,MALE,TOWN,30658.7,YES,0,NO,YES,YES,NO,NO
ID12412,66,MALE,INNER_CITY,36646.4,NO,1,NO,YES,YES,NO,YES
ID12413,61,FEMALE,TOWN,30760.4,NO,2,YES,NO,YES,NO,YES
ID12414,18,FEMALE,RURAL,16109.9,NO,2,YES,YES,YES,NO,NO
ID12415,54,FEMALE,TOWN,18036.7,YES,0,YES,YES,NO,NO,NO
ID12416,45,MALE,RURAL,42628.3,NO,0,YES,YES,YES,YES,NO
ID12417,60,MALE,INNER_CITY,22110.1,NO,2,YES,YES,YES,NO,NO
ID12418,45,FEMALE,TOWN,37689.1,NO,1,NO,YES,YES,YES,YES
ID12419,31,FEMALE,INNER_CITY,23171.8,NO,2,NO,YES,NO,NO,NO
ID12420,39,MALE,SUBURBAN,21951.3,NO,0,YES,YES,YES,YES,NO
