Item_Identifier,Item_Fat_Content,Item_Type,Outlet_Identifier,Outlet_Type,Outlet_Size,Outlet_Location_Type,Item_Weight,Item_Visibility,Item_MRP,Outlet_Establishment_Year,Item_Outlet_Sales
FDX34,Low Fat,Snack Foods,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.071636937,121.7098,1985,4097.3332
FDD17,Low Fat,Frozen Foods,OUT049,Supermarket Type1,Medium,Tier 1,7.5,0.032677678,239.0906,1999,5942.265
FDZ46,Low Fat,Snack Foods,OUT035,Supermarket Type1,Small,Tier 2,7.485,0.06911065,109.0228,2004,2542.0244
FDY58,Low Fat,Snack Foods,OUT018,Supermarket Type2,Medium,Tier 3,11.65,0.040081193,227.0694,2009,1141.847
FDJ38,Regular,Canned,OUT035,Supermarket Type1,Small,Tier 2,8.6,0.040197932,190.153,2004,3036.048
FDL40,Low Fat,Frozen Foods,OUT035,Supermarket Type1,Small,Tier 2,17.7,0.01161096,95.041,2004,868.869
DRI49,Low Fat,Soft Drinks,OUT046,Supermarket Type1,Small,Tier 1,14.15,0.183507295,82.4276,1997,1137.1864
DRG23,Low Fat,Hard Drinks,OUT013,Supermarket Type1,High,Tier 3,8.88,0.086708987,151.7682,1987,762.341
FDY25,Low Fat,Canned,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.033809913,180.5976,1985,7968.2944
NCH54,Low Fat,Household,OUT046,Supermarket Type1,Small,Tier 1,13.5,0.07266912,160.292,1997,1438.128
NCR53,Low Fat,Health and Hygiene,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.144338493,224.4404,1985,6976.2524
FDG02,Low Fat,Canned,OUT018,Supermarket Type2,Medium,Tier 3,7.855,0.011307038,188.5188,2009,952.094
NCO26,Low Fat,Household,OUT046,Supermarket Type1,Small,Tier 1,7.235,0.076855628,116.0492,1997,1969.4364
FDH35,Low Fat,Starchy Foods,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.059956876,165.4526,1985,5262.4832
NCC31,Low Fat,Household,OUT035,Supermarket Type1,Small,Tier 2,8.02,0.019866705,154.5972,2004,1402.1748
NCC30,Low Fat,Household,OUT049,Supermarket Type1,Medium,Tier 1,16.6,0.027622076,177.6344,1999,2676.516
FDI16,Regular,Frozen Foods,OUT035,Supermarket Type1,Small,Tier 2,14,0,53.064,2004,905.488
FDP16,Low Fat,Frozen Foods,OUT049,Supermarket Type1,Medium,Tier 1,18.6,0.039355947,246.3802,1999,7370.406
FDB11,Low Fat,Starchy Foods,OUT035,Supermarket Type1,Small,Tier 2,16,0.060836524,226.8404,2004,6301.1312
NCB06,Low Fat,Health and Hygiene,OUT035,Supermarket Type1,Small,Tier 2,17.6,0.082316506,160.692,2004,1597.92
FDA45,Low Fat,Snack Foods,OUT035,Supermarket Type1,Small,Tier 2,21.25,0.155350299,178.237,2004,529.311
NCO26,Low Fat,Household,OUT035,Supermarket Type1,Small,Tier 2,7.235,0.076841095,117.5492,2004,1969.4364
FDR28,reg,Frozen Foods,OUT018,Supermarket Type2,Medium,Tier 3,13.85,0.026001976,161.521,2009,1794.331
FDI04,Regular,Frozen Foods,OUT018,Supermarket Type2,Medium,Tier 3,13.65,0.073209447,197.6426,2009,2768.3964
DRK12,Low Fat,Soft Drinks,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.041683481,31.29,1985,898.83
FDX20,Low Fat,Fruits and Vegetables,OUT046,Supermarket Type1,Small,Tier 1,7.365,0.042560252,226.172,1997,3169.208
NCI18,Low Fat,Household,OUT018,Supermarket Type2,Medium,Tier 3,18.35,0.014081156,223.5746,2009,3589.9936
FDB36,Regular,Baking Goods,OUT018,Supermarket Type2,Medium,Tier 3,5.465,0,132.5626,2009,262.3252
FDQ28,Regular,Frozen Foods,OUT013,Supermarket Type1,High,Tier 3,14,0.060376776,154.5656,1987,2471.4496
FDM22,Regular,Snack Foods,OUT013,Supermarket Type1,High,Tier 3,14,0.04192285,54.764,1987,1331.6
FDR07,Low Fat,Fruits and Vegetables,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.077367431,97.0094,1985,1808.9786
FDV25,Low Fat,Canned,OUT018,Supermarket Type2,Medium,Tier 3,5.905,0.045838211,222.5456,2009,3315.684
DRF49,Low Fat,Soft Drinks,OUT046,Supermarket Type1,Small,Tier 1,7.27,0.071077939,114.2518,1997,2618.5914
FDW51,Regular,Meat,OUT046,Supermarket Type1,Small,Tier 1,6.155,0.094659871,214.556,1997,2769.728
FDL50,Regular,Canned,OUT018,Supermarket Type2,Medium,Tier 3,12.15,0.042485444,125.0046,2009,1743.0644
NCB30,Low Fat,Household,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.025578526,198.8084,1985,5555.4352
FDW11,Low Fat,Breads,OUT018,Supermarket Type2,Medium,Tier 3,12.6,0.0489808,61.9194,2009,619.194
NCM43,Low Fat,Others,OUT035,Supermarket Type1,Small,Tier 2,14.5,0.019471688,164.821,2004,2120.573
FDM15,Regular,Meat,OUT013,Supermarket Type1,High,Tier 3,11.8,0.057373797,151.4366,1987,1360.2294
FDS31,Regular,Fruits and Vegetables,OUT013,Supermarket Type1,High,Tier 3,13.1,0.044155597,178.8318,1987,3969.4996
DRY23,Regular,Soft Drinks,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.191013663,42.1112,1985,42.6112
FDQ28,Regular,Frozen Foods,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.060134441,153.0656,1985,6024.1584
NCO17,Low Fat,Health and Hygiene,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.128478462,117.944,1985,239.688
FDU50,Regular,Dairy,OUT013,Supermarket Type1,High,Tier 3,5.75,0.075107656,112.8176,1987,1374.2112
FDT12,Regular,Baking Goods,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.049381406,226.8062,1985,4739.8302
FDK58,Regular,Snack Foods,OUT018,Supermarket Type2,Medium,Tier 3,11.35,0.045165796,100.0016,2009,1012.016
FDO08,Regular,Fruits and Vegetables,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.09415375,165.7526,1985,657.8104
NCW29,Low Fat,Health and Hygiene,OUT049,Supermarket Type1,Medium,Tier 1,14,0.028907832,130.431,1999,778.986
NCB19,Low Fat,Household,OUT049,Supermarket Type1,Medium,Tier 1,6.525,0.090436094,85.0882,1999,2233.0932
FDV15,Low Fat,Meat,OUT049,Supermarket Type1,Medium,Tier 1,10.3,0.146399712,103.9648,1999,1661.8368
FDL58,Regular,Snack Foods,OUT049,Supermarket Type1,Medium,Tier 1,5.78,0.074264356,264.7568,1999,4745.8224
FDT43,Low Fat,Fruits and Vegetables,OUT018,Supermarket Type2,Medium,Tier 3,16.35,0.020631654,50.1324,2009,467.3916
NCX06,Low Fat,Household,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.01561108,182.5976,1985,5070.7328
FDT20,Low Fat,Fruits and Vegetables,OUT046,Supermarket Type1,Small,Tier 1,10.5,0.041395445,37.6164,1997,540.6296
FDB41,Regular,Frozen Foods,OUT046,Supermarket Type1,Small,Tier 1,19,0.097313129,48.0718,1997,992.7078
NCN55,Low Fat,Others,OUT049,Supermarket Type1,Medium,Tier 1,14.6,0.059582996,238.8538,1999,6008.845
FDE40,Regular,Dairy,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.098663652,62.9194,1985,2105.2596
FDX49,reg,Canned,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.101338651,232.63,1985,5359.69
FDE36,Regular,Baking Goods,OUT035,Supermarket Type1,Small,Tier 2,5.26,0.041764487,161.8868,2004,3275.736
FDI24,Low Fat,Baking Goods,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.078362484,177.937,1985,6704.606
FDI19,Low Fat,Meat,OUT046,Supermarket Type1,Small,Tier 1,15.1,0.052339069,242.7512,1997,4119.9704
FDG52,Low Fat,Frozen Foods,OUT049,Supermarket Type1,Medium,Tier 1,13.65,0.065732883,45.7402,1999,780.9834
FDS45,Regular,Snack Foods,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.051643608,107.3622,1985,317.5866
DRK12,LF,Soft Drinks,OUT035,Supermarket Type1,Small,Tier 2,9.5,0.041878397,32.99,2004,133.16
DRC27,Low Fat,Dairy,OUT035,Supermarket Type1,Small,Tier 2,13.8,0.058091482,245.1802,2004,5650.6446
FDX15,Low Fat,Meat,OUT013,Supermarket Type1,High,Tier 3,17.2,0.15616879,160.6578,1987,3690.5294
FDA39,LF,Meat,OUT035,Supermarket Type1,Small,Tier 2,6.32,0,40.2822,2004,1139.1838
FDY24,Regular,Baking Goods,OUT049,Supermarket Type1,Medium,Tier 1,4.88,0.133700752,52.9298,1999,1995.4026
FDH28,Regular,Frozen Foods,OUT046,Supermarket Type1,Small,Tier 1,15.85,0.110030997,37.2506,1997,265.6542
DRJ13,Low Fat,Soft Drinks,OUT013,Supermarket Type1,High,Tier 3,12.65,0.062837968,161.5578,1987,2406.867
NCO07,Low Fat,Others,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.017116983,211.956,1985,213.056
FDW20,Low Fat,Fruits and Vegetables,OUT013,Supermarket Type1,High,Tier 3,20.75,0.024129332,124.173,1987,2956.152
DRF27,Low Fat,Dairy,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.049754975,152.134,1985,153.134
FDS49,Low Fat,Canned,OUT035,Supermarket Type1,Small,Tier 2,9,0,79.7644,2004,1649.8524
FDX25,Low Fat,Canned,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.101561568,181.9292,1985,3101.2964
NCX42,Low Fat,Household,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.005949644,165.6526,1985,4769.1254
FDG33,Regular,Seafood,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.13956116,170.4764,1985,3435.528
FDF14,Low Fat,Canned,OUT035,Supermarket Type1,Small,Tier 2,7.55,0.027164679,152.334,2004,2603.278
NCD06,Low Fat,Household,OUT046,Supermarket Type1,Small,Tier 1,13,0.099325278,45.406,1997,605.878
DRM47,Low Fat,Hard Drinks,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.04357366,192.8846,1985,2293.0152
FDS46,Regular,Snack Foods,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.082741482,118.7782,1985,119.1782
FDB35,Regular,Starchy Foods,OUT013,Supermarket Type1,High,Tier 3,12.3,0.064565202,92.9804,1987,1929.4884
FDX21,LF,Snack Foods,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.084554569,109.8912,1985,2074.6328
NCU05,Low Fat,Health and Hygiene,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.058451805,79.9618,1985,241.6854
NCU41,Low Fat,Health and Hygiene,OUT035,Supermarket Type1,Small,Tier 2,18.85,0.052044976,192.1846,2004,3248.4382
DRJ51,Low Fat,Dairy,OUT035,Supermarket Type1,Small,Tier 2,14.1,0.087977262,229.0668,2004,3225.1352
FDK21,Low Fat,Snack Foods,OUT035,Supermarket Type1,Small,Tier 2,7.905,0.010010425,249.0408,2004,3755.112
FDY25,Low Fat,Canned,OUT013,Supermarket Type1,High,Tier 3,12,0.033946163,179.3976,1987,3440.8544
FDU44,Regular,Fruits and Vegetables,OUT035,Supermarket Type1,Small,Tier 2,12.15,0.058414678,163.4552,2004,974.7312
FDL43,Low Fat,Meat,OUT049,Supermarket Type1,Medium,Tier 1,10.1,0.027106459,75.367,1999,535.969
DRF15,Low Fat,Dairy,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.058153409,152.034,1985,306.268
FDL20,Low Fat,Fruits and Vegetables,OUT018,Supermarket Type2,Medium,Tier 3,17.1,0.128937661,112.3886,2009,1779.0176
FDV32,Low Fat,Fruits and Vegetables,OUT049,Supermarket Type1,Medium,Tier 1,7.785,0.088846306,61.451,1999,759.012
FDJ34,Regular,Snack Foods,OUT013,Supermarket Type1,High,Tier 3,11.8,0.09357779,125.9704,1987,1877.556
FDQ04,Low Fat,Frozen Foods,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.148392623,41.5796,1985,41.2796
NCI17,Low Fat,Health and Hygiene,OUT013,Supermarket Type1,High,Tier 3,8.645,0.143303291,96.341,1987,193.082
FDJ55,Regular,Meat,OUT013,Supermarket Type1,High,Tier 3,12.8,0.023511371,225.9404,1987,4950.8888
DRK01,Low Fat,Soft Drinks,OUT035,Supermarket Type1,Small,Tier 2,7.63,0.06105276,95.4436,2004,1418.154
NCR54,Low Fat,Household,OUT013,Supermarket Type1,High,Tier 3,16.35,0.090486828,195.211,1987,2553.343
FDG29,Low Fat,Frozen Foods,OUT013,Supermarket Type1,High,Tier 3,17.6,0.056245075,43.3454,1987,1006.6896
FDG24,Low Fat,Baking Goods,OUT013,Supermarket Type1,High,Tier 3,7.975,0.014618973,85.225,1987,1081.925
FDM28,Low Fat,Frozen Foods,OUT013,Supermarket Type1,High,Tier 3,15.7,0.045166237,178.666,1987,2516.724
FDW04,Regular,Frozen Foods,OUT046,Supermarket Type1,Small,Tier 1,8.985,0.057827101,128.831,1997,1428.141
FDS26,Low Fat,Dairy,OUT013,Supermarket Type1,High,Tier 3,20.35,0.089394766,260.1594,1987,2093.2752
FDQ56,Low Fat,Fruits and Vegetables,OUT013,Supermarket Type1,High,Tier 3,6.59,0.10550944,85.6908,1987,1929.4884
FDK51,Low Fat,Dairy,OUT035,Supermarket Type1,Small,Tier 2,19.85,0.005234153,264.0884,2004,5829.7448
FDL22,Low Fat,Snack Foods,OUT046,Supermarket Type1,Small,Tier 1,16.85,0.036390174,91.4488,1997,2082.6224
FDH19,Low Fat,Meat,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.03292824,173.1738,1985,7298.4996
FDY55,Low Fat,Fruits and Vegetables,OUT013,Supermarket Type1,High,Tier 3,16.75,0.081252534,256.4988,1987,7452.9652
FDZ10,Low Fat,Snack Foods,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.044248175,126.202,1985,3668.558
FDZ32,Regular,Fruits and Vegetables,OUT018,Supermarket Type2,Medium,Tier 3,7.785,0.038288087,103.1964,2009,736.3748
NCZ18,Low Fat,Household,OUT035,Supermarket Type1,Small,Tier 2,7.825,0.186032678,253.0698,2004,6088.0752
NCF07,Low Fat,Household,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.031867464,101.0016,1985,2125.2336
FDJ08,Low Fat,Fruits and Vegetables,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.193772568,190.3846,1985,573.2538
FDT39,Regular,Meat,OUT035,Supermarket Type1,Small,Tier 2,6.26,0.009866049,151.1366,2004,2267.049
NCD06,Low Fat,Household,OUT018,Supermarket Type2,Medium,Tier 3,13,0.099729888,46.306,2009,559.272
FDB57,Regular,Fruits and Vegetables,OUT035,Supermarket Type1,Small,Tier 2,20.25,0.018801549,222.1772,2004,5559.43
NCT54,Low Fat,Household,OUT049,Supermarket Type1,Medium,Tier 1,8.695,0.119721451,95.5094,1999,1237.7222
FDM25,Regular,Breakfast,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.060371962,174.0712,1985,3866.9664
FDH27,Low Fat,Dairy,OUT018,Supermarket Type2,Medium,Tier 3,7.075,0.05858462,142.7128,2009,1869.5664
FDV60,Regular,Baking Goods,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.11679292,196.211,1985,5499.508
FDY59,Low Fat,Baking Goods,OUT049,Supermarket Type1,Medium,Tier 1,8.195,0.031452265,94.3462,1999,925.462
FDK36,Low Fat,Baking Goods,OUT035,Supermarket Type1,Small,Tier 2,7.09,0.00721395,47.9034,2004,583.2408
NCM31,Low Fat,Others,OUT046,Supermarket Type1,Small,Tier 1,6.095,0.081196619,141.4154,1997,1418.154
FDU36,Low Fat,Baking Goods,OUT046,Supermarket Type1,Small,Tier 1,6.15,0.04627095,99.3384,1997,2364.9216
FDV13,Regular,Canned,OUT027,Supermarket Type3,Medium,Tier 3,12.85764518,0.02747716,87.9856,1985,3251.7672
FDV20,Regular,Fruits and Vegetables,OUT019,Grocery Store,Small,Tier 1,12.85764518,0.104704537,125.2678,1985,254.3356
NCQ54,Low Fat,Household,OUT035,Supermarket Type1,Small,Tier 2,17.7,0.012540003,167.0474,2004,5895.659
FDO23,Low Fat,Breads,OUT018,Supermarket Type2,Medium,Tier 3,17.85,0.147023834,93.7436,2009,1134.5232
FDR04,Low Fat,Frozen Foods,OUT018,Supermarket Type2,Medium,Tier 3,7.075,0,98.0068,2009,874.8612
FDX23,Low Fat,Baking Goods,OUT046,Supermarket Type1,Small,Tier 1,6.445,0.029691762,92.6436,1997,1039.9796
