Date,Store_ID,City,Store_Type,Day_Type,Weather,Promotion,Temperature_C,Marketing_Spend_GBP,Staff_Count,Footfall,Transactions,Units_Sold,Avg_Order_Value_GBP,Revenue_GBP,Operating_Cost_GBP,Profit_GBP,Avg_Wait_Min,Customer_Rating
2025-01-11,BB01,London,High Street,Weekend,Cloudy,No Promotion,4.9,13.91,5,223,85,114,8.07,654.6,683.86,-29.26,2.73,4.26
2025-01-11,BB02,London,Shopping Centre,Weekend,Cloudy,No Promotion,4.9,4.94,7,331,137,201,8.8,1233.64,925.82,307.82,2.76,4.21
2025-01-11,BB03,Manchester,High Street,Weekend,Cloudy,Combo Deal,4.9,61.44,7,245,110,181,7.38,849.37,836.45,12.92,2.48,4.57
2025-01-11,BB04,Manchester,Shopping Centre,Weekend,Cloudy,No Promotion,4.9,7.88,6,267,111,154,8.4,900.45,786.8,113.65,2.9,4.25
2025-01-11,BB05,Birmingham,High Street,Weekend,Cloudy,No Promotion,4.9,13.03,6,207,88,132,7.64,705.35,710.88,-5.53,2.35,4.48
2025-01-11,BB06,Birmingham,Shopping Centre,Weekend,Cloudy,No Promotion,4.9,14.25,6,242,95,127,7.76,718.52,712.0,6.52,2.64,4.39
2025-01-11,BB07,Bristol,High Street,Weekend,Cloudy,No Promotion,4.9,4.08,7,219,104,160,6.94,741.23,742.44,-1.21,2.72,4.25
2025-01-11,BB08,Bristol,Shopping Centre,Weekend,Cloudy,Combo Deal,4.9,32.45,8,282,120,196,8.47,1008.17,904.28,103.89,2.34,4.48
2025-01-12,BB01,London,High Street,Weekend,Cloudy,Combo Deal,12.3,69.3,7,279,121,193,8.3,968.2,893.78,74.42,3.07,4.14
2025-01-12,BB02,London,Shopping Centre,Weekend,Cloudy,No Promotion,12.3,1.85,7,320,130,185,7.95,1053.6,887.16,166.44,3.32,4.2
2025-01-12,BB03,Manchester,High Street,Weekend,Cloudy,No Promotion,12.3,9.04,6,248,110,149,7.66,831.36,732.72,98.64,3.54,4.16
2025-01-12,BB04,Manchester,Shopping Centre,Weekend,Cloudy,Social Media,12.3,45.37,7,311,129,175,8.71,1135.26,944.1,191.16,3.06,4.06
2025-01-12,BB05,Birmingham,High Street,Weekend,Cloudy,No Promotion,12.3,2.0,5,179,77,117,7.06,532.94,604.9,-71.96,2.98,4.58
2025-01-12,BB06,Birmingham,Shopping Centre,Weekend,Cloudy,No Promotion,12.3,9.47,6,230,93,119,7.86,735.25,677.98,57.27,2.46,4.34
2025-01-12,BB07,Bristol,High Street,Weekend,Cloudy,Combo Deal,12.3,27.0,6,214,93,143,7.18,638.46,671.43,-32.97,2.64,4.4
2025-01-12,BB08,Bristol,Shopping Centre,Weekend,Cloudy,No Promotion,12.3,0.79,5,171,68,97,8.34,552.63,576.61,-23.98,3.04,4.34
2025-01-13,BB01,London,High Street,Weekday,Rainy,Combo Deal,10.0,68.82,6,247,100,149,7.47,745.95,783.94,-37.99,2.36,4.28
2025-01-13,BB02,London,Shopping Centre,Weekday,Rainy,No Promotion,10.0,11.9,7,216,89,143,8.79,735.66,792.45,-56.79,2.4,4.72
2025-01-13,BB03,Manchester,High Street,Weekday,Rainy,Social Media,10.0,101.08,7,184,93,135,7.33,716.77,819.7,-102.93,2.37,4.47
2025-01-13,BB04,Manchester,Shopping Centre,Weekday,Rainy,Social Media,10.0,71.04,6,194,84,119,7.75,678.21,738.95,-60.74,2.32,4.38
2025-01-13,BB05,Birmingham,High Street,Weekday,Rainy,No Promotion,10.0,8.03,5,153,65,98,6.52,442.86,564.23,-121.36,2.98,4.38
2025-01-13,BB06,Birmingham,Shopping Centre,Weekday,Rainy,No Promotion,10.0,1.17,5,162,60,81,6.86,400.21,534.98,-134.78,2.54,4.41
2025-01-13,BB07,Bristol,High Street,Weekday,Rainy,No Promotion,10.0,6.64,5,145,68,107,7.34,462.09,589.17,-127.09,2.66,4.28
2025-01-13,BB08,Bristol,Shopping Centre,Weekday,Rainy,No Promotion,10.0,12.24,5,159,66,101,7.83,523.12,598.22,-75.1,2.71,4.37
2025-01-14,BB01,London,High Street,Weekday,Rainy,No Promotion,10.3,16.94,6,186,79,118,7.4,579.16,712.31,-133.14,3.24,4.34
2025-01-14,BB02,London,Shopping Centre,Weekday,Rainy,Social Media,10.3,103.98,6,250,113,155,8.36,913.76,891.67,22.09,3.22,4.05
2025-01-14,BB03,Manchester,High Street,Weekday,Rainy,No Promotion,10.3,17.22,5,167,79,117,6.9,546.37,577.56,-31.19,2.6,4.29
2025-01-14,BB04,Manchester,Shopping Centre,Weekday,Rainy,Combo Deal,10.3,41.67,6,207,101,171,7.73,791.32,797.06,-5.75,3.14,4.3
2025-01-14,BB05,Birmingham,High Street,Weekday,Rainy,No Promotion,10.3,5.89,4,141,58,84,7.99,470.83,532.07,-61.24,2.65,4.35
2025-01-14,BB06,Birmingham,Shopping Centre,Weekday,Rainy,No Promotion,10.3,8.91,5,144,54,82,7.36,360.29,523.04,-162.76,2.64,4.25
2025-01-14,BB07,Bristol,High Street,Weekday,Rainy,No Promotion,10.3,1.32,5,168,81,129,6.71,568.09,582.49,-14.4,3.44,4.2
2025-01-14,BB08,Bristol,Shopping Centre,Weekday,Rainy,No Promotion,10.3,9.0,6,147,61,85,7.64,492.78,608.4,-115.62,3.19,4.23
2025-01-15,BB01,London,High Street,Weekday,Cloudy,Social Media,6.2,102.1,7,295,140,208,7.48,1044.92,987.47,57.45,2.26,4.44
2025-01-15,BB02,London,Shopping Centre,Weekday,Cloudy,Social Media,6.2,85.85,6,240,93,142,9.35,921.85,871.96,49.9,2.8,4.32
2025-01-15,BB03,Manchester,High Street,Weekday,Cloudy,Social Media,6.2,99.25,7,227,99,147,7.68,745.99,868.61,-122.62,2.37,4.35
2025-01-15,BB04,Manchester,Shopping Centre,Weekday,Cloudy,No Promotion,6.2,6.38,6,254,98,144,8.09,778.4,718.36,60.04,3.07,4.24
2025-01-15,BB05,Birmingham,High Street,Weekday,Cloudy,Social Media,6.2,69.42,6,214,97,137,6.77,696.83,746.31,-49.48,3.35,4.15
2025-01-15,BB06,Birmingham,Shopping Centre,Weekday,Cloudy,Social Media,6.2,75.97,7,238,113,177,7.43,859.52,848.21,11.31,2.59,4.29
2025-01-15,BB07,Bristol,High Street,Weekday,Cloudy,Social Media,6.2,73.93,6,171,76,97,7.27,509.77,708.74,-198.97,2.8,4.2
2025-01-15,BB08,Bristol,Shopping Centre,Weekday,Cloudy,No Promotion,6.2,11.63,7,231,87,140,7.55,677.14,753.96,-76.82,2.84,4.56
2025-01-16,BB01,London,High Street,Weekday,Cloudy,Local Flyer,8.6,30.51,5,239,108,156,8.48,914.18,754.75,159.43,3.23,4.32
2025-01-16,BB02,London,Shopping Centre,Weekday,Cloudy,No Promotion,8.6,2.03,8,273,126,170,8.57,1065.71,915.89,149.82,2.23,4.47
2025-01-16,BB03,Manchester,High Street,Weekday,Cloudy,No Promotion,8.6,12.05,6,197,87,138,7.57,652.91,661.59,-8.69,2.63,4.22
2025-01-16,BB04,Manchester,Shopping Centre,Weekday,Cloudy,No Promotion,8.6,2.13,6,241,95,141,8.1,760.37,718.68,41.69,2.62,4.38
2025-01-16,BB05,Birmingham,High Street,Weekday,Cloudy,Combo Deal,8.6,49.72,6,186,82,139,6.59,495.63,654.98,-159.34,2.78,4.34
2025-01-16,BB06,Birmingham,Shopping Centre,Weekday,Cloudy,Social Media,8.6,83.34,7,233,106,153,7.88,863.21,849.07,14.14,2.93,4.33
2025-01-16,BB07,Bristol,High Street,Weekday,Cloudy,No Promotion,8.6,8.22,5,170,70,93,7.22,502.46,577.51,-75.05,2.73,4.62
2025-01-16,BB08,Bristol,Shopping Centre,Weekday,Cloudy,No Promotion,8.6,16.81,6,194,66,91,8.37,551.64,670.57,-118.93,1.91,4.31
2025-01-17,BB01,London,High Street,Weekday,Cloudy,No Promotion,7.1,3.21,5,212,89,135,7.97,696.92,670.13,26.8,2.33,4.33
2025-01-17,BB02,London,Shopping Centre,Weekday,Cloudy,No Promotion,7.1,16.87,7,279,110,161,8.5,937.8,857.78,80.02,3.19,4.28
2025-01-17,BB03,Manchester,High Street,Weekday,Cloudy,Combo Deal,7.1,34.78,6,222,107,171,7.65,816.6,756.17,60.43,2.53,4.28
2025-01-17,BB04,Manchester,Shopping Centre,Weekday,Cloudy,No Promotion,7.1,11.88,7,232,106,164,7.44,765.88,754.59,11.28,3.47,4.14
2025-01-17,BB05,Birmingham,High Street,Weekday,Cloudy,No Promotion,7.1,7.49,4,158,60,85,7.58,471.69,508.53,-36.84,1.94,4.31
2025-01-17,BB06,Birmingham,Shopping Centre,Weekday,Cloudy,No Promotion,7.1,3.66,6,199,94,138,7.8,719.04,693.96,25.09,2.91,4.23
2025-01-17,BB07,Bristol,High Street,Weekday,Cloudy,No Promotion,7.1,8.63,6,148,72,107,7.29,550.07,653.92,-103.86,2.51,4.53
2025-01-17,BB08,Bristol,Shopping Centre,Weekday,Cloudy,No Promotion,7.1,13.96,6,226,99,140,7.94,810.17,723.62,86.55,3.2,3.99
2025-01-18,BB01,London,High Street,Weekend,Cloudy,No Promotion,10.6,2.63,6,235,98,149,8.58,818.9,791.14,27.76,2.41,4.35
2025-01-18,BB02,London,Shopping Centre,Weekend,Cloudy,Local Flyer,10.6,73.72,8,363,165,241,8.33,1366.4,1073.39,293.02,3.16,4.42
2025-01-18,BB03,Manchester,High Street,Weekend,Cloudy,Social Media,10.6,73.87,6,227,96,139,7.36,684.32,756.99,-72.67,2.54,4.33
2025-01-18,BB04,Manchester,Shopping Centre,Weekend,Cloudy,No Promotion,10.6,0.21,7,313,130,172,8.36,1080.74,885.52,195.21,3.08,4.31
2025-01-18,BB05,Birmingham,High Street,Weekend,Cloudy,Combo Deal,10.6,41.79,6,168,71,124,7.34,494.97,663.52,-168.55,2.06,4.58
2025-01-18,BB06,Birmingham,Shopping Centre,Weekend,Cloudy,No Promotion,10.6,1.01,6,215,87,121,8.32,739.08,668.26,70.82,2.73,4.5
2025-01-18,BB07,Bristol,High Street,Weekend,Cloudy,No Promotion,10.6,0.84,6,178,77,109,8.33,634.01,667.7,-33.69,2.05,4.38
2025-01-18,BB08,Bristol,Shopping Centre,Weekend,Cloudy,No Promotion,10.6,4.33,7,218,107,175,8.25,856.71,802.85,53.86,2.72,4.09
2025-01-19,BB01,London,High Street,Weekend,Rainy,No Promotion,6.6,13.92,6,240,100,153,8.15,800.88,771.38,29.5,3.22,4.33
2025-01-19,BB02,London,Shopping Centre,Weekend,Rainy,No Promotion,6.6,2.78,7,238,105,159,8.97,930.34,821.07,109.27,2.85,4.36
2025-01-19,BB03,Manchester,High Street,Weekend,Rainy,No Promotion,6.6,0.47,6,185,82,117,8.03,699.28,678.66,20.62,3.34,4.01
2025-01-19,BB04,Manchester,Shopping Centre,Weekend,Rainy,No Promotion,6.6,2.5,7,226,95,135,8.19,778.24,767.27,10.96,2.3,4.26
2025-01-19,BB05,Birmingham,High Street,Weekend,Rainy,No Promotion,6.6,17.08,6,173,77,117,6.49,511.85,639.56,-127.71,2.22,4.68
2025-01-19,BB06,Birmingham,Shopping Centre,Weekend,Rainy,Local Flyer,6.6,57.01,7,246,108,145,8.45,903.82,828.88,74.94,2.35,4.31
2025-01-19,BB07,Bristol,High Street,Weekend,Rainy,No Promotion,6.6,17.15,6,150,70,106,7.02,469.36,608.25,-138.89,2.3,4.31
2025-01-19,BB08,Bristol,Shopping Centre,Weekend,Rainy,Combo Deal,6.6,46.57,5,207,84,134,7.46,631.5,656.37,-24.88,3.16,4.2
2025-01-20,BB01,London,High Street,Weekday,Rainy,Social Media,8.1,90.29,6,214,94,117,8.11,763.75,823.87,-60.12,3.14,4.08
2025-01-20,BB02,London,Shopping Centre,Weekday,Rainy,Social Media,8.1,72.38,7,224,106,154,7.81,856.23,899.29,-43.06,3.23,4.3
2025-01-20,BB03,Manchester,High Street,Weekday,Rainy,No Promotion,8.1,3.72,5,166,67,106,7.86,554.68,640.03,-85.35,2.21,4.59
2025-01-20,BB04,Manchester,Shopping Centre,Weekday,Rainy,No Promotion,8.1,3.14,6,189,90,140,7.68,693.08,679.31,13.77,2.57,4.23
2025-01-20,BB05,Birmingham,High Street,Weekday,Rainy,Social Media,8.1,97.66,7,200,100,152,6.82,686.86,803.28,-116.42,2.36,4.26
2025-01-20,BB06,Birmingham,Shopping Centre,Weekday,Rainy,Social Media,8.1,69.35,6,202,85,132,7.92,679.43,769.33,-89.89,2.83,4.38
2025-01-20,BB07,Bristol,High Street,Weekday,Rainy,No Promotion,8.1,7.53,5,135,45,53,6.85,299.75,511.25,-211.51,2.48,4.31
2025-01-20,BB08,Bristol,Shopping Centre,Weekday,Rainy,No Promotion,8.1,0.17,5,147,63,87,8.21,495.74,553.8,-58.06,2.57,4.35
2025-01-21,BB01,London,High Street,Weekday,Sunny,No Promotion,8.5,13.37,7,282,132,196,7.53,997.39,884.53,112.86,2.92,4.12
2025-01-21,BB02,London,Shopping Centre,Weekday,Sunny,Combo Deal,8.5,69.97,7,324,142,198,8.74,1243.81,999.81,244.0,3.26,4.12
2025-01-21,BB03,Manchester,High Street,Weekday,Sunny,Social Media,8.5,54.75,8,262,124,177,8.0,976.57,963.96,12.61,2.69,4.42
2025-01-21,BB04,Manchester,Shopping Centre,Weekday,Sunny,Social Media,8.5,112.39,7,206,102,159,8.67,884.57,901.12,-16.55,2.94,4.09
2025-01-21,BB05,Birmingham,High Street,Weekday,Sunny,Social Media,8.5,74.0,6,199,89,123,7.13,653.7,771.0,-117.3,2.97,4.24
2025-01-21,BB06,Birmingham,Shopping Centre,Weekday,Sunny,Social Media,8.5,77.09,7,242,117,172,8.18,961.44,874.15,87.29,2.98,4.17
2025-01-21,BB07,Bristol,High Street,Weekday,Sunny,No Promotion,8.5,6.19,6,177,71,111,7.97,565.06,641.71,-76.64,2.68,4.3
2025-01-21,BB08,Bristol,Shopping Centre,Weekday,Sunny,Social Media,8.5,110.29,7,216,100,149,8.03,787.83,856.44,-68.62,2.59,4.25
2025-01-22,BB01,London,High Street,Weekday,Sunny,No Promotion,5.9,2.39,6,240,95,137,8.04,769.68,750.14,19.53,3.12,4.34
2025-01-22,BB02,London,Shopping Centre,Weekday,Sunny,Combo Deal,5.9,58.89,8,341,151,246,7.92,1176.56,1044.72,131.85,2.55,4.47
2025-01-22,BB03,Manchester,High Street,Weekday,Sunny,Social Media,5.9,51.07,7,218,98,141,7.68,766.41,794.47,-28.07,2.84,4.15
2025-01-22,BB04,Manchester,Shopping Centre,Weekday,Sunny,Combo Deal,5.9,54.63,7,244,108,169,8.33,915.59,877.01,38.58,2.64,4.49
2025-01-22,BB05,Birmingham,High Street,Weekday,Sunny,Social Media,5.9,113.44,8,246,115,163,6.85,753.68,908.09,-154.42,2.51,4.4
2025-01-22,BB06,Birmingham,Shopping Centre,Weekday,Sunny,No Promotion,5.9,0.72,5,203,76,115,7.95,617.7,627.47,-9.77,2.55,4.28
