studentID,status,test_type,total_questions,total_points,total_points_possible,score,completed_at
52,Passed,Mastery Exam,75,45,75,60,8/7/2019 12:53
53,Passed,Practice Exam,74,30,74,40,5/25/2019 20:01
54,Passed,Practice Exam,85,63,85,74,3/11/2022 18:19
55,Failed,Mastery Exam,85,55,85,64,12/6/2022 10:07
55,Failed,Practice Exam,85,36,85,42,9/26/2022 21:48
56,Passed,Mastery Exam,85,52,85,61,3/11/2021 9:36
56,Passed,Practice Exam,85,43,85,50,3/10/2021 11:45
57,Passed,Practice Exam,85,46,85,54,11/17/2020 17:22
57,Passed,Mastery Exam,85,62,85,72,11/9/2020 12:20
58,Failed,Practice Exam,85,48,85,56,10/17/2023 16:35
59,Failed,Practice Exam,85,65,85,76,6/9/2022 14:34
59,Failed,Mastery Exam,85,59,85,69,6/10/2022 14:14
60,Passed,Mastery Exam,85,62,85,72,5/30/2023 9:43
60,Passed,Practice Exam,85,53,85,62,4/24/2023 15:16
61,Passed,Mastery Exam,75,45,75,60,7/25/2019 1:13
61,Passed,Practice Exam,74,40,74,54,7/24/2019 16:39
62,Passed,Mastery Exam,75,39,75,52,8/30/2020 12:32
62,Passed,Practice Exam,75,34,75,45,8/29/2020 21:40
63,Passed,Mastery Exam,85,65,85,76,10/1/2022 17:50
63,Passed,Practice Exam,85,68,85,80,9/29/2022 11:30
64,Failed,Mastery Exam,85,43,85,50,12/23/2021 17:37
64,Failed,Practice Exam,85,41,85,48,12/21/2021 15:52
65,Passed,Practice Exam,74,37,74,50,9/19/2019 19:18
66,Passed,Mastery Exam,85,67,85,78,7/8/2023 19:39
66,Passed,Practice Exam,85,69,85,81,7/2/2023 21:04
67,Passed,Practice Exam,85,51,85,60,6/24/2021 16:32
67,Passed,Mastery Exam,85,44,85,51,6/29/2021 17:18
68,Passed,Mastery Exam,75,29,75,38,11/23/2019 15:54
68,Passed,Practice Exam,74,28,74,37,11/17/2019 8:13
69,Passed,Practice Exam,85,43,85,50,4/5/2021 10:17
70,Passed,Practice Exam,85,56,85,65,11/21/2022 16:06
70,Passed,Mastery Exam,85,58,85,68,11/27/2022 14:50
71,Passed,Practice Exam,75,29,75,38,5/17/2020 10:47
71,Passed,Mastery Exam,75,32,75,42,5/14/2020 23:36
72,Failed,Practice Exam,85,42,85,49,2/15/2022 10:26
72,Failed,Mastery Exam,85,42,85,49,2/22/2022 15:33
73,Passed,Practice Exam,85,70,85,82,5/16/2022 12:11
73,Passed,Mastery Exam,85,68,85,80,5/26/2022 12:23
74,Failed,Mastery Exam,85,58,85,68,6/10/2022 10:25
74,Failed,Practice Exam,85,60,85,70,6/9/2022 18:50
75,Passed,Mastery Exam,85,31,85,36,8/7/2020 23:51
76,Failed,Mastery Exam,85,56,85,65,5/2/2022 17:22
76,Failed,Practice Exam,85,55,85,64,4/27/2022 18:29
77,Passed,Practice Exam,85,51,85,60,4/14/2021 7:09
78,Passed,Practice Exam,85,53,85,62,9/2/2021 20:08
78,Passed,Mastery Exam,85,58,85,68,11/29/2022 11:50
79,Failed,Mastery Exam,85,57,85,67,9/9/2022 13:25
79,Failed,Practice Exam,85,62,85,72,9/7/2022 9:20
80,Passed,Practice Exam,85,29,85,34,1/18/2021 11:36
81,Passed,Practice Exam,85,40,85,47,3/12/2021 19:05
82,Passed,Practice Exam,85,77,85,90,10/10/2023 10:12
83,Passed,Mastery Exam,85,47,85,55,6/26/2020 14:36
83,Passed,Practice Exam,85,47,85,55,6/24/2020 14:19
84,Passed,Practice Exam,85,78,85,91,6/30/2023 16:48
84,Passed,Mastery Exam,85,81,85,95,7/2/2023 13:05
85,Passed,Mastery Exam,85,75,85,88,5/13/2022 9:43
85,Passed,Practice Exam,85,75,85,88,5/12/2022 22:12
86,Failed,Mastery Exam,85,17,85,20,11/24/2021 17:59
86,Failed,Practice Exam,85,22,85,25,11/22/2021 17:56
87,Failed,Mastery Exam,85,41,85,48,8/3/2022 8:32
87,Failed,Practice Exam,85,50,85,58,8/4/2022 13:57
88,Passed,Mastery Exam,85,44,85,51,4/8/2021 21:41
89,Passed,Practice Exam,85,48,85,56,8/1/2021 23:50
89,Passed,Mastery Exam,85,46,85,54,8/3/2021 2:03
90,Passed,Mastery Exam,85,49,85,57,4/17/2021 22:41
90,Passed,Practice Exam,85,63,85,74,4/15/2021 19:19
91,Passed,Practice Exam,85,21,85,24,3/25/2021 22:40
92,Failed,Mastery Exam,85,47,85,55,9/30/2021 15:30
92,Failed,Practice Exam,85,47,85,55,9/30/2021 8:54
93,Passed,Practice Exam,85,58,85,68,11/21/2022 16:27
93,Passed,Mastery Exam,85,59,85,69,11/27/2022 14:31
94,Failed,Mastery Exam,85,72,85,84,10/18/2023 21:09
94,Failed,Practice Exam,85,69,85,81,10/18/2023 12:28
95,Passed,Practice Exam,85,53,85,62,10/29/2023 14:39
95,Passed,Mastery Exam,85,62,85,72,11/15/2023 14:19
96,Failed,Mastery Exam,85,56,85,65,7/8/2022 10:02
96,Failed,Practice Exam,85,63,85,74,7/7/2022 12:44
97,Passed,Practice Exam,85,42,85,49,11/27/2021 0:23
98,Passed,Mastery Exam,85,47,85,55,11/14/2021 16:53
99,Failed,Practice Exam,85,47,85,55,2/14/2022 17:38
99,Failed,Mastery Exam,85,38,85,44,2/16/2022 14:13
100,Failed,Mastery Exam,85,50,85,58,7/28/2022 15:34
100,Failed,Practice Exam,85,29,85,34,6/25/2022 9:19
101,Failed,Practice Exam,85,61,85,71,8/15/2021 23:34
102,Passed,Practice Exam,85,38,85,44,3/23/2021 9:11
102,Passed,Mastery Exam,85,45,85,52,3/29/2021 16:50
103,Failed,Mastery Exam,85,59,85,69,5/22/2023 20:02
103,Failed,Practice Exam,85,48,85,56,5/20/2023 18:30
104,Passed,Practice Exam,85,53,85,62,10/25/2023 17:26
104,Passed,Mastery Exam,85,58,85,68,10/26/2023 12:14
105,Failed,Practice Exam,85,35,85,41,6/9/2022 10:17
105,Failed,Mastery Exam,85,39,85,45,6/10/2022 10:24
106,Failed,Practice Exam,85,18,85,21,5/25/2021 9:32
106,Failed,Mastery Exam,85,52,85,61,7/22/2021 9:19
107,Passed,Practice Exam,85,52,85,61,7/30/2021 7:20
108,Passed,Practice Exam,85,43,85,50,6/22/2021 1:37
109,Passed,Practice Exam,85,54,85,63,5/30/2023 12:22
109,Passed,Mastery Exam,85,68,85,80,6/6/2023 19:55
110,Passed,Practice Exam,85,40,85,47,6/23/2021 0:57
110,Passed,Mastery Exam,85,33,85,38,6/24/2021 9:31
111,Passed,Practice Exam,85,53,85,62,7/22/2021 9:47
111,Passed,Mastery Exam,85,50,85,58,7/21/2021 19:52
112,Failed,Practice Exam,85,47,85,55,3/3/2023 14:33
113,Passed,Mastery Exam,85,60,85,70,7/25/2022 18:34
113,Passed,Practice Exam,85,32,85,37,12/13/2021 23:21
114,Passed,Practice Exam,85,47,85,55,8/22/2021 13:49
114,Passed,Mastery Exam,85,65,85,76,7/26/2022 20:05
115,Passed,Practice Exam,85,62,85,72,4/12/2023 21:27
115,Passed,Mastery Exam,85,60,85,70,4/17/2023 21:40
116,Failed,Practice Exam,85,59,85,69,10/11/2021 9:45
116,Failed,Mastery Exam,85,64,85,75,10/13/2021 14:26
117,Passed,Practice Exam,85,57,85,67,8/11/2021 16:24
117,Passed,Mastery Exam,85,71,85,83,2/3/2022 15:07
118,Passed,Practice Exam,85,65,85,76,4/4/2023 11:19
118,Passed,Mastery Exam,85,68,85,80,4/9/2023 18:42
119,Passed,Practice Exam,85,53,85,62,4/27/2022 5:07
120,Passed,Mastery Exam,85,63,85,74,9/18/2023 18:50
120,Passed,Practice Exam,85,58,85,68,9/8/2023 19:03
121,Passed,Mastery Exam,85,64,85,75,6/21/2022 15:28
121,Passed,Practice Exam,85,65,85,76,6/21/2022 11:43
122,Passed,Practice Exam,85,70,85,82,11/27/2022 20:15
122,Passed,Mastery Exam,85,69,85,81,11/29/2022 20:22
123,Passed,Practice Exam,85,58,85,68,4/8/2023 12:27
124,Passed,Practice Exam,85,71,85,83,2/22/2022 14:47
124,Passed,Mastery Exam,85,76,85,89,2/23/2022 16:11
125,Passed,Mastery Exam,85,57,85,67,5/9/2022 14:58
125,Passed,Practice Exam,85,60,85,70,4/29/2022 20:10
126,Failed,Practice Exam,85,34,85,40,9/10/2021 0:07
126,Failed,Mastery Exam,85,56,85,65,1/20/2022 11:57
127,Failed,Mastery Exam,85,56,85,65,9/21/2021 17:27
127,Failed,Practice Exam,85,51,85,60,9/16/2021 15:55
128,Passed,Practice Exam,85,70,85,82,12/20/2021 16:40
128,Passed,Mastery Exam,85,67,85,78,12/23/2021 14:45
129,Failed,Mastery Exam,85,51,85,60,8/30/2022 18:20
129,Failed,Practice Exam,85,72,85,84,10/18/2022 9:38
130,Passed,Practice Exam,85,70,85,82,12/28/2022 18:36
131,Failed,Practice Exam,85,73,85,85,2/14/2022 15:28
131,Failed,Mastery Exam,85,72,85,84,2/16/2022 10:39
132,Failed,Mastery Exam,85,24,85,28,11/10/2021 10:57
132,Failed,Practice Exam,85,28,85,32,11/8/2021 16:01
133,Passed,Practice Exam,85,55,85,64,12/10/2021 18:26
133,Passed,Mastery Exam,85,48,85,56,12/15/2021 17:27
134,Passed,Practice Exam,85,34,85,40,12/1/2021 13:34
134,Passed,Mastery Exam,85,50,85,58,12/22/2021 16:01
135,Failed,Mastery Exam,85,58,85,68,12/22/2021 12:00
135,Failed,Practice Exam,85,51,85,60,12/20/2021 14:18
136,Passed,Practice Exam,85,52,85,61,11/22/2021 12:45
136,Passed,Mastery Exam,85,52,85,61,11/24/2021 17:44
137,Passed,Practice Exam,85,36,85,42,10/13/2021 12:38
137,Passed,Mastery Exam,85,50,85,58,11/24/2021 12:01
138,Failed,Mastery Exam,85,50,85,58,11/22/2021 10:57
138,Failed,Practice Exam,85,27,85,31,11/22/2021 11:17
139,Failed,Practice Exam,85,55,85,64,1/10/2022 5:41
140,Passed,Mastery Exam,85,61,85,71,11/29/2021 10:46
140,Passed,Practice Exam,85,62,85,72,11/22/2021 11:28
141,Failed,Practice Exam,85,47,85,55,10/15/2021 19:37
141,Failed,Mastery Exam,85,60,85,70,1/10/2022 8:36
142,Failed,Mastery Exam,85,42,85,49,12/23/2021 10:43
142,Failed,Practice Exam,85,30,85,35,10/25/2021 12:01
143,Failed,Practice Exam,85,46,85,54,12/20/2021 20:06
143,Failed,Mastery Exam,85,52,85,61,12/23/2021 9:21
144,Failed,Practice Exam,85,44,85,51,11/23/2021 8:58
144,Failed,Mastery Exam,85,41,85,48,11/29/2021 11:04
145,Failed,Mastery Exam,85,59,85,69,11/29/2021 11:13
145,Failed,Practice Exam,85,58,85,68,11/22/2021 16:23
146,Passed,Practice Exam,85,61,85,71,11/25/2021 10:04
146,Passed,Mastery Exam,85,53,85,62,10/23/2021 11:10
147,Passed,Practice Exam,85,56,85,65,1/18/2022 13:14
147,Passed,Mastery Exam,85,60,85,70,1/20/2022 13:23
148,Failed,Mastery Exam,85,53,85,62,8/3/2022 9:48
148,Failed,Practice Exam,85,43,85,50,8/2/2022 8:51
149,Failed,Mastery Exam,85,51,85,60,2/9/2022 19:18
149,Failed,Practice Exam,85,49,85,57,2/9/2022 9:45
150,Failed,Mastery Exam,85,36,85,42,11/29/2021 9:02
150,Failed,Practice Exam,85,40,85,47,11/23/2021 13:12
151,Failed,Mastery Exam,85,41,85,48,12/23/2021 12:49
151,Failed,Practice Exam,85,34,85,40,12/25/2021 22:01
152,Passed,Practice Exam,85,50,85,58,7/14/2022 9:32
153,Failed,Mastery Exam,85,57,85,67,12/22/2021 13:43
153,Failed,Practice Exam,85,65,85,76,12/20/2021 21:31
154,Failed,Practice Exam,85,52,85,61,2/16/2022 14:25
154,Failed,Mastery Exam,85,49,85,57,2/18/2022 14:21
155,Failed,Practice Exam,85,34,85,40,11/22/2021 15:35
155,Failed,Mastery Exam,85,31,85,36,11/24/2021 17:14
156,Failed,Practice Exam,85,64,85,75,11/23/2021 10:33
156,Failed,Mastery Exam,85,67,85,78,11/29/2021 10:25
157,Passed,Practice Exam,85,59,85,69,12/20/2021 22:02
157,Passed,Mastery Exam,85,48,85,56,12/23/2021 9:18
158,Passed,Practice Exam,85,31,85,36,10/20/2021 21:39
158,Passed,Mastery Exam,85,39,85,45,11/24/2021 17:07
159,Failed,Practice Exam,85,34,85,40,12/20/2021 16:27
159,Failed,Mastery Exam,85,31,85,36,12/23/2021 8:48
160,Failed,Practice Exam,85,46,85,54,10/18/2022 10:44
160,Failed,Mastery Exam,85,51,85,60,10/20/2022 15:13
161,Failed,Practice Exam,85,52,85,61,6/9/2022 10:25
161,Failed,Mastery Exam,85,47,85,55,6/10/2022 10:52
162,Failed,Practice Exam,85,47,85,55,12/20/2021 15:44
162,Failed,Mastery Exam,85,46,85,54,12/22/2021 13:39
163,Passed,Mastery Exam,85,52,85,61,12/22/2021 17:40
163,Passed,Practice Exam,85,59,85,69,12/20/2021 16:15
164,Failed,Practice Exam,85,17,85,20,12/20/2021 19:02
164,Failed,Mastery Exam,85,24,85,28,12/22/2021 18:44
165,Failed,Mastery Exam,85,64,85,75,2/17/2022 13:48
165,Failed,Practice Exam,85,64,85,75,1/17/2022 11:09
166,Failed,Mastery Exam,85,53,85,62,11/20/2021 21:22
166,Failed,Practice Exam,85,57,85,67,11/20/2021 20:14
167,Failed,Mastery Exam,85,40,85,47,12/22/2021 23:40
167,Failed,Practice Exam,85,49,85,57,12/21/2021 5:54
168,Passed,Practice Exam,85,66,85,77,12/20/2021 18:29
168,Passed,Mastery Exam,85,60,85,70,12/23/2021 11:06
169,Failed,Practice Exam,85,58,85,68,12/21/2021 10:06
169,Failed,Mastery Exam,85,48,85,56,12/23/2021 7:46
170,Failed,Practice Exam,85,46,85,54,12/21/2021 10:59
170,Failed,Mastery Exam,85,48,85,56,12/23/2021 9:07
171,Passed,Practice Exam,85,69,85,81,12/20/2021 14:21
171,Passed,Mastery Exam,85,41,85,48,11/22/2021 1:42
172,Failed,Mastery Exam,85,50,85,58,1/9/2022 22:34
172,Failed,Practice Exam,85,52,85,61,1/5/2022 21:36
173,Passed,Mastery Exam,85,52,85,61,1/7/2022 18:19
173,Passed,Practice Exam,85,47,85,55,1/7/2022 16:19
174,Passed,Practice Exam,85,72,85,84,2/14/2022 16:15
174,Passed,Mastery Exam,85,73,85,85,2/16/2022 11:47
175,Passed,Mastery Exam,85,66,85,77,4/13/2022 10:34
175,Passed,Practice Exam,85,68,85,80,4/12/2022 9:22
176,Failed,Practice Exam,85,31,85,36,11/22/2021 13:31
176,Failed,Mastery Exam,85,58,85,68,12/23/2021 11:27
177,Passed,Mastery Exam,85,44,85,51,12/22/2021 23:34
177,Passed,Practice Exam,85,48,85,56,12/21/2021 1:08
178,Failed,Practice Exam,85,32,85,37,12/1/2021 23:00
179,Passed,Mastery Exam,85,63,85,74,4/26/2022 21:17
179,Passed,Practice Exam,85,67,85,78,4/26/2022 15:01
180,Failed,Practice Exam,85,16,85,18,12/2/2021 12:03
181,Failed,Practice Exam,85,51,85,60,12/20/2021 21:29
181,Failed,Mastery Exam,85,57,85,67,12/23/2021 14:41
182,Passed,Mastery Exam,85,45,85,52,1/12/2022 8:41
182,Passed,Practice Exam,85,57,85,67,1/9/2022 15:14
183,Passed,Mastery Exam,85,58,85,68,12/22/2021 17:36
183,Passed,Practice Exam,85,56,85,65,12/20/2021 17:50
184,Failed,Practice Exam,85,22,85,25,1/5/2022 21:18
184,Failed,Mastery Exam,85,61,85,71,1/7/2022 11:46
185,Failed,Practice Exam,85,45,85,52,1/5/2022 14:04
185,Failed,Mastery Exam,85,44,85,51,1/9/2022 21:43
186,Passed,Practice Exam,85,67,85,78,6/12/2022 13:51
187,Failed,Practice Exam,85,41,85,48,1/7/2022 11:29
188,Failed,Practice Exam,85,40,85,47,2/14/2022 13:43
188,Failed,Mastery Exam,85,44,85,51,2/16/2022 23:12
189,Passed,Practice Exam,85,49,85,57,12/16/2021 16:10
189,Passed,Mastery Exam,85,48,85,56,12/16/2021 20:51
190,Failed,Practice Exam,85,53,85,62,1/10/2022 11:31
190,Failed,Mastery Exam,85,39,85,45,1/10/2022 20:04
191,Passed,Mastery Exam,85,71,85,83,1/2/2022 3:30
191,Passed,Practice Exam,85,58,85,68,12/27/2021 10:52
192,Passed,Mastery Exam,85,66,85,77,1/11/2022 1:01
192,Passed,Practice Exam,85,63,85,74,1/7/2022 0:35
193,Failed,Practice Exam,85,60,85,70,2/16/2022 15:47
193,Failed,Mastery Exam,85,64,85,75,2/24/2022 17:28
194,Failed,Mastery Exam,85,42,85,49,1/7/2022 12:47
194,Failed,Practice Exam,85,38,85,44,1/5/2022 11:46
195,Failed,Practice Exam,85,46,85,54,1/6/2022 19:49
195,Failed,Mastery Exam,85,61,85,71,1/8/2022 14:43
196,Passed,Mastery Exam,85,68,85,80,1/7/2022 17:39
197,Passed,Mastery Exam,85,57,85,67,12/2/2021 9:33
198,Failed,Mastery Exam,85,56,85,65,2/17/2022 15:55
198,Failed,Practice Exam,85,52,85,61,2/15/2022 13:22
199,Failed,Mastery Exam,85,53,85,62,1/10/2022 8:49
199,Failed,Practice Exam,85,59,85,69,1/7/2022 11:16
200,Passed,Practice Exam,85,49,85,57,12/4/2021 20:35
200,Passed,Mastery Exam,85,43,85,50,12/5/2021 21:19
201,Failed,Mastery Exam,85,55,85,64,1/7/2022 11:59
201,Failed,Practice Exam,85,58,85,68,1/5/2022 12:37
202,Passed,Mastery Exam,85,58,85,68,1/7/2022 15:07
202,Passed,Practice Exam,85,60,85,70,1/5/2022 14:17
203,Failed,Practice Exam,85,68,85,80,1/5/2022 14:57
203,Failed,Mastery Exam,85,55,85,64,1/7/2022 13:47
204,Failed,Mastery Exam,85,48,85,56,1/7/2022 15:12
204,Failed,Practice Exam,85,51,85,60,1/5/2022 14:42
205,Passed,Practice Exam,85,68,85,80,1/5/2022 14:22
205,Passed,Mastery Exam,85,67,85,78,1/7/2022 14:16
206,Passed,Mastery Exam,85,64,85,75,5/3/2022 18:03
206,Passed,Practice Exam,85,65,85,76,5/3/2022 14:56
207,Failed,Practice Exam,85,68,85,80,2/14/2022 15:58
207,Failed,Mastery Exam,85,69,85,81,2/16/2022 11:52
208,Failed,Mastery Exam,85,50,85,58,1/9/2022 23:29
208,Failed,Practice Exam,85,42,85,49,1/5/2022 15:35
209,Failed,Practice Exam,85,36,85,42,12/5/2021 17:12
209,Failed,Mastery Exam,85,40,85,47,1/7/2022 12:59
210,Passed,Practice Exam,85,66,85,77,1/17/2022 20:25
210,Passed,Mastery Exam,85,75,85,88,1/18/2022 15:24
211,Passed,Mastery Exam,85,66,85,77,1/14/2022 9:14
211,Passed,Practice Exam,85,66,85,77,1/14/2022 8:01
212,Passed,Practice Exam,85,50,85,58,1/18/2022 16:18
212,Passed,Mastery Exam,85,63,85,74,1/21/2022 13:21
213,Failed,Mastery Exam,85,40,85,47,1/10/2022 11:29
213,Failed,Practice Exam,85,36,85,42,1/5/2022 20:56
214,Failed,Practice Exam,85,66,85,77,2/22/2022 10:04
214,Failed,Mastery Exam,85,65,85,76,7/8/2022 10:32
215,Failed,Practice Exam,85,38,85,44,12/19/2021 20:47
215,Failed,Mastery Exam,85,51,85,60,1/20/2022 14:55
216,Passed,Practice Exam,85,64,85,75,1/5/2022 14:45
216,Passed,Mastery Exam,85,60,85,70,1/7/2022 14:16
217,Failed,Mastery Exam,85,36,85,42,1/10/2022 9:16
217,Failed,Practice Exam,85,36,85,42,1/6/2022 14:55
218,Passed,Mastery Exam,85,48,85,56,4/13/2022 14:18
218,Passed,Practice Exam,85,59,85,69,4/13/2022 10:14
219,Failed,Practice Exam,85,51,85,60,1/5/2022 13:07
219,Failed,Mastery Exam,85,49,85,57,1/7/2022 12:02
220,Passed,Practice Exam,85,74,85,87,2/4/2022 11:59
220,Passed,Mastery Exam,85,68,85,80,2/5/2022 16:35
221,Passed,Practice Exam,85,62,85,72,2/14/2022 15:27
221,Passed,Mastery Exam,85,65,85,76,2/16/2022 10:58
222,Passed,Practice Exam,85,63,85,74,1/18/2022 15:38
222,Passed,Mastery Exam,85,69,85,81,1/20/2022 15:16
223,Failed,Practice Exam,85,51,85,60,1/18/2022 13:44
223,Failed,Mastery Exam,85,26,85,30,12/20/2021 16:19
224,Failed,Mastery Exam,85,42,85,49,1/20/2022 14:47
224,Failed,Practice Exam,85,42,85,49,1/18/2022 14:20
225,Passed,Practice Exam,85,65,85,76,12/27/2021 10:18
225,Passed,Mastery Exam,85,67,85,78,12/28/2021 14:12
226,Passed,Practice Exam,85,42,85,49,1/18/2022 11:34
226,Passed,Mastery Exam,85,45,85,52,1/20/2022 11:40
227,Failed,Practice Exam,85,57,85,67,1/18/2022 13:59
227,Failed,Mastery Exam,85,51,85,60,1/20/2022 14:00
228,Failed,Mastery Exam,85,69,85,81,2/17/2022 13:55
228,Failed,Practice Exam,85,56,85,65,1/11/2022 13:36
229,Failed,Mastery Exam,85,36,85,42,2/17/2022 8:37
229,Failed,Practice Exam,85,40,85,47,2/14/2022 14:16
230,Passed,Practice Exam,85,61,85,71,1/18/2022 11:42
230,Passed,Mastery Exam,85,59,85,69,1/20/2022 12:16
231,Passed,Practice Exam,85,59,85,69,2/15/2022 14:12
232,Failed,Mastery Exam,85,55,85,64,2/16/2022 10:55
232,Failed,Practice Exam,85,54,85,63,2/14/2022 17:41
233,Failed,Mastery Exam,85,33,85,38,12/21/2021 21:10
233,Failed,Practice Exam,85,38,85,44,12/21/2021 19:00
234,Passed,Mastery Exam,85,80,85,94,1/16/2022 20:29
234,Passed,Practice Exam,85,76,85,89,1/12/2022 22:21
235,Failed,Mastery Exam,85,52,85,61,1/20/2022 13:20
235,Failed,Practice Exam,85,40,85,47,1/18/2022 12:43
236,Failed,Mastery Exam,85,63,85,74,1/20/2022 13:58
236,Failed,Practice Exam,85,61,85,71,1/18/2022 13:46
237,Passed,Practice Exam,85,60,85,70,1/18/2022 23:47
238,Passed,Mastery Exam,85,69,85,81,1/10/2022 9:57
238,Passed,Practice Exam,85,69,85,81,1/6/2022 15:16
239,Passed,Mastery Exam,85,73,85,85,2/4/2022 17:58
