ph,temperature,turbidity,fish
8.73,17.81,3.45,pangas
8.63,17.94,3.46,pangas
8.66,17.94,3.44,pangas
8.75,18,3.47,pangas
8.77,17.94,3.47,pangas
8.78,18,3.48,pangas
8.81,17.94,3.43,pangas
8.79,18,3.46,pangas
8.87,18,3.46,pangas
8.8,17.81,3.48,pangas
8.78,17.87,3.48,pangas
8.8,18,3.49,pangas
8.79,17.94,3.5,tilapia
8.79,17.94,3.5,tilapia
6.02,21,3.48,rui
6.01,21,3.49,rui
6,21,3.48,rui
6.09,21.06,3.48,rui
6.93,21,3.47,rui
6.42,20.94,3.47,rui
6.48,21,3.46,rui
7,21,3.46,rui
7.27,21.06,3.45,rui
7.24,21,3.44,rui
7.11,21.06,3.45,rui
7.6,20.94,3.45,rui
7.83,20.87,3.43,rui
7.75,21.06,3.41,rui
7.5,20.87,3.37,rui
7.07,20.87,3.36,rui
6.99,21.06,3.35,rui
6.87,21.06,3.33,rui
6.68,21,3.32,rui
6.95,21.06,3.31,rui
8.3,21.44,3.62,katla
8.15,21.5,3.62,katla
8.09,21.37,3.62,katla
7.99,21.44,3.61,katla
7.92,21.5,3.61,katla
7.96,21.37,3.61,katla
7.87,21.25,3.61,katla
7.7,21.31,3.6,katla
7.54,21.12,3.6,katla
7.5,21.25,3.6,katla
7.43,21.19,3.61,katla
7.42,21.12,3.61,shrimp
7.26,21.25,3.62,shrimp
6.95,21.19,3.62,shrimp
6.78,21.25,3.62,shrimp
6.92,21.06,3.6,shrimp
6.87,21.19,3.6,shrimp
6.51,21.19,3.61,shrimp
7.02,21.25,3.61,shrimp
6.8,21.25,3.61,shrimp
6.02,21.06,3.56,silverCup
6.01,21.09,3.56,silverCup
6,21.12,3.56,silverCup
6.09,21.06,3.56,silverCup
6.93,21.12,3.57,silverCup
6.42,21.19,3.57,silverCup
6.48,21.19,3.57,silverCup
7,21.12,3.57,silverCup
7.27,21.19,3.57,silverCup
7.24,21.06,3.56,silverCup
7.11,21.25,3.56,silverCup
7.6,21.12,3.56,silverCup
7.83,21.06,3.56,sing
7.75,21.25,3.57,sing
7.5,21.06,3.57,sing
7.07,21.12,3.57,sing
6.99,21.19,3.56,sing
6.87,21,3.56,sing
6.68,21.19,3.58,sing
6.95,21.12,3.58,sing
7.67,17.62,3.56,tilapia
8.39,17.5,3.56,tilapia
8.24,17.56,3.55,tilapia
8.26,17.75,3.55,tilapia
8.23,17.56,3.55,tilapia
8.31,17.69,3.56,tilapia
8.38,17.69,3.56,tilapia
7.84,17.56,3.57,tilapia
6.7,17.5,3.56,tilapia
6.02,17.62,3.57,tilapia
8.16,17.62,3.55,tilapia
8.23,17.56,3.55,tilapia
7.96,17.62,3.56,tilapia
7.79,17.75,3.56,tilapia
7.88,17.75,3.55,tilapia
7.84,17.69,3.55,tilapia
8.18,17.69,3.56,tilapia
8.16,17.75,3.56,tilapia
8.32,17.56,3.56,tilapia
8.23,17.56,3.56,tilapia
8.65,17.75,3.44,tilapia
8.66,17.87,3.45,tilapia
8.74,17.94,3.41,tilapia
8.57,17.87,3.46,tilapia
8.62,17.81,3.47,pangas
8.69,17.94,3.48,pangas
8.73,17.81,3.45,pangas
8.63,17.94,3.46,pangas
8.66,17.94,3.44,pangas
8.75,18,3.47,pangas
8.77,17.94,3.47,pangas
8.78,18,3.48,pangas
8.81,17.94,3.43,pangas
8.79,18,3.46,pangas
8.87,18,3.46,pangas
8.8,17.81,3.48,pangas
8.78,17.87,3.48,pangas
8.8,18,3.49,pangas
8.79,17.94,3.5,tilapia
8.79,17.94,3.5,tilapia
6.02,21,3.48,rui
6.01,21,3.49,rui
6,21,3.48,rui
6.09,21.06,3.48,rui
6.93,21,3.47,rui
6.42,20.94,3.47,rui
6.48,21,3.46,rui
7,21,3.46,rui
7.27,21.06,3.45,rui
7.24,21,3.44,rui
7.11,21.06,3.45,rui
7.6,20.94,3.45,rui
7.83,20.87,3.43,rui
7.75,21.06,3.41,rui
7.5,20.87,3.37,rui
7.07,20.87,3.36,rui
6.99,21.06,3.35,rui
6.87,21.06,3.33,rui
6.68,21,3.32,rui
6.95,21.06,3.31,rui
8.3,21.44,3.62,katla
8.15,21.5,3.62,katla
8.09,21.37,3.62,katla
7.99,21.44,3.61,katla
7.92,21.5,3.61,katla
7.96,21.37,3.61,katla
7.87,21.25,3.61,katla
7.7,21.31,3.6,katla
7.54,21.12,3.6,katla
7.5,21.25,3.6,katla
7.43,21.19,3.61,katla
7.42,21.12,3.61,shrimp
7.26,21.25,3.62,shrimp
6.95,21.19,3.62,shrimp
6.78,21.25,3.62,shrimp
6.92,21.06,3.6,shrimp
6.87,21.19,3.6,shrimp
6.51,21.19,3.61,shrimp
7.02,21.25,3.61,shrimp
6.8,21.25,3.61,shrimp
6.02,21.06,3.56,silverCup
6.01,21.09,3.56,silverCup
6,21.12,3.56,silverCup
6.09,21.06,3.56,silverCup
6.93,21.12,3.57,silverCup
6.42,21.19,3.57,silverCup
6.48,21.19,3.57,silverCup
7,21.12,3.57,silverCup
7.27,21.19,3.57,silverCup
7.24,21.06,3.56,silverCup
7.11,21.25,3.56,silverCup
7.6,21.12,3.56,silverCup
7.83,21.06,3.56,sing
7.75,21.25,3.57,sing
7.5,21.06,3.57,sing
7.07,21.12,3.57,sing
6.99,21.19,3.56,sing
6.87,21,3.56,sing
6.68,21.19,3.58,sing
6.95,21.12,3.58,sing
7.67,17.62,3.56,tilapia
8.39,17.5,3.56,tilapia
8.24,17.56,3.55,tilapia
8.26,17.75,3.55,tilapia
8.23,17.56,3.55,tilapia
8.31,17.69,3.56,tilapia
8.38,17.69,3.56,tilapia
7.84,17.56,3.57,tilapia
6.7,17.5,3.56,tilapia
6.02,17.62,3.57,tilapia
8.16,17.62,3.55,tilapia
8.23,17.56,3.55,tilapia
7.96,17.62,3.56,tilapia
7.79,17.75,3.56,tilapia
7.88,17.75,3.55,tilapia
7.84,17.69,3.55,tilapia
8.18,17.69,3.56,tilapia
8.16,17.75,3.56,tilapia
8.32,17.56,3.56,tilapia
8.23,17.56,3.56,tilapia
8.65,17.75,3.44,tilapia
8.66,17.87,3.45,tilapia
8.74,17.94,3.41,tilapia
8.57,17.87,3.46,tilapia
8.62,17.81,3.47,pangas
8.69,17.94,3.48,pangas
8.73,17.81,3.45,pangas
8.63,17.94,3.46,pangas
8.66,17.94,3.44,pangas
8.75,18,3.47,pangas
8.77,17.94,3.47,pangas
8.78,18,3.48,pangas
8.81,17.94,3.43,pangas
8.79,18,3.46,pangas
8.87,18,3.46,pangas
8.8,17.81,3.48,pangas
8.78,17.87,3.48,pangas
8.8,18,3.49,pangas
8.79,17.94,3.5,tilapia
8.79,17.94,3.5,tilapia
6.02,21,3.48,rui
6.01,21,3.49,rui
6,21,3.48,rui
6.09,21.06,3.48,rui
6.93,21,3.47,rui
6.42,20.94,3.47,rui
6.48,21,3.46,rui
7,21,3.46,rui
7.27,21.06,3.45,rui
7.24,21,3.44,rui
7.11,21.06,3.45,rui
7.6,20.94,3.45,rui
7.83,20.87,3.43,rui
7.75,21.06,3.41,rui
7.5,20.87,3.37,rui
7.07,20.87,3.36,rui
6.99,21.06,3.35,rui
6.87,21.06,3.33,rui
6.68,21,3.32,rui
6.95,21.06,3.31,rui
8.3,21.44,3.62,katla
8.15,21.5,3.62,katla
8.09,21.37,3.62,katla
7.99,21.44,3.61,katla
7.92,21.5,3.61,katla
7.96,21.37,3.61,katla
7.87,21.25,3.61,katla
7.7,21.31,3.6,katla
7.54,21.12,3.6,katla
7.5,21.25,3.6,katla
7.43,21.19,3.61,katla
7.42,21.12,3.61,shrimp
7.26,21.25,3.62,shrimp
6.95,21.19,3.62,shrimp
6.78,21.25,3.62,shrimp
6.92,21.06,3.6,shrimp
6.87,21.19,3.6,shrimp
6.51,21.19,3.61,shrimp
7.02,21.25,3.61,shrimp
6.8,21.25,3.61,shrimp
6.02,21.06,3.56,silverCup
6.01,21.09,3.56,silverCup
6,21.12,3.56,silverCup
6.09,21.06,3.56,silverCup
6.93,21.12,3.57,silverCup
6.42,21.19,3.57,silverCup
6.48,21.19,3.57,silverCup
7,21.12,3.57,silverCup
7.27,21.19,3.57,silverCup
7.24,21.06,3.56,silverCup
7.11,21.25,3.56,silverCup
7.6,21.12,3.56,silverCup
7.83,21.06,3.56,sing
7.75,21.25,3.57,sing
7.5,21.06,3.57,sing
7.07,21.12,3.57,sing
6.99,21.19,3.56,sing
6.87,21,3.56,sing
6.68,21.19,3.58,sing
6.95,21.12,3.58,sing
7.67,17.62,3.56,tilapia
8.39,17.5,3.56,tilapia
8.24,17.56,3.55,tilapia
8.26,17.75,3.55,tilapia
8.23,17.56,3.55,tilapia
8.31,17.69,3.56,tilapia
8.38,17.69,3.56,tilapia
7.84,17.56,3.57,tilapia
6.7,17.5,3.56,tilapia
6.02,17.62,3.57,tilapia
8.16,17.62,3.55,tilapia
8.23,17.56,3.55,tilapia
7.96,17.62,3.56,tilapia
7.79,17.75,3.56,tilapia
7.88,17.75,3.55,tilapia
7.84,17.69,3.55,tilapia
8.18,17.69,3.56,tilapia
8.16,17.75,3.56,tilapia
8.32,17.56,3.56,tilapia
8.23,17.56,3.56,tilapia
8.65,17.75,3.44,tilapia
8.66,17.87,3.45,tilapia
8.74,17.94,3.41,tilapia
8.57,17.87,3.46,tilapia
8.62,17.81,3.47,pangas
8.69,17.94,3.48,pangas
8.73,17.81,3.45,pangas
8.63,17.94,3.46,pangas
8.66,17.94,3.44,pangas
8.75,18,3.47,pangas
8.77,17.94,3.47,pangas
8.78,18,3.48,pangas
8.81,17.94,3.43,pangas
8.79,18,3.46,pangas
8.87,18,3.46,pangas
8.8,17.81,3.48,pangas
8.78,17.87,3.48,pangas
8.8,18,3.49,pangas
8.79,17.94,3.5,tilapia
8.79,17.94,3.5,tilapia
6.02,21,3.48,rui
6.01,21,3.49,rui
6,21,3.48,rui
6.09,21.06,3.48,rui
6.93,21,3.47,rui
6.42,20.94,3.47,rui
6.48,21,3.46,rui
7,21,3.46,rui
7.27,21.06,3.45,rui
7.24,21,3.44,rui
7.11,21.06,3.45,rui
7.6,20.94,3.45,rui
7.83,20.87,3.43,rui
7.75,21.06,3.41,rui
7.5,20.87,3.37,rui
7.07,20.87,3.36,rui
6.99,21.06,3.35,rui
6.87,21.06,3.33,rui
6.68,21,3.32,rui
6.95,21.06,3.31,rui
8.3,21.44,3.62,katla
8.15,21.5,3.62,katla
8.09,21.37,3.62,katla
7.99,21.44,3.61,katla
7.92,21.5,3.61,katla
7.96,21.37,3.61,katla
7.87,21.25,3.61,katla
7.7,21.31,3.6,katla
7.54,21.12,3.6,katla
7.5,21.25,3.6,katla
7.43,21.19,3.61,katla
7.42,21.12,3.61,shrimp
7.26,21.25,3.62,shrimp
6.95,21.19,3.62,shrimp
6.78,21.25,3.62,shrimp
6.92,21.06,3.6,shrimp
6.87,21.19,3.6,shrimp
6.51,21.19,3.61,shrimp
7.02,21.25,3.61,shrimp
6.8,21.25,3.61,shrimp
6.02,21.06,3.56,silverCup
6.01,21.09,3.56,silverCup
6,21.12,3.56,silverCup
6.09,21.06,3.56,silverCup
6.93,21.12,3.57,silverCup
6.42,21.19,3.57,silverCup
6.48,21.19,3.57,silverCup
7,21.12,3.57,silverCup
7.27,21.19,3.57,silverCup
7.24,21.06,3.56,silverCup
7.11,21.25,3.56,silverCup
7.6,21.12,3.56,silverCup
7.83,21.06,3.56,sing
7.75,21.25,3.57,sing
7.5,21.06,3.57,sing
7.07,21.12,3.57,sing
6.99,21.19,3.56,sing
6.87,21,3.56,sing
6.68,21.19,3.58,sing
6.95,21.12,3.58,sing
