GPA,Core_Subject_Score,Academic_Consistency,Research_Participation,Programming_Skill,Domain_Knowledge,Tool_Proficiency,Certification_Count,Internship_Count,Internship_Duration,Industry_Relevance,Project_Experience,Communication_Skill,Teamwork_Ability,Leadership_Potential,Adaptability,Learning_Motivation,Career_Clarity,Market_Awareness,Higher_Study_Interest,Target_Industry_Code,Workshop_Participation,Online_Course_Hours,Networking_Activity,Learning_Path_Generation_Time,Employment_Competitiveness_Score
5.65,55.0,2.03,0.0,81.0,85.0,34.0,5.0,1.0,2.3,0.11,1.0,87.0,51.0,64.0,96.0,98.0,31.0,54.0,0.0,3.0,0.0,203.9,41.0,7.05,22.57
9.59,92.0,2.08,0.0,52.0,89.0,96.0,3.0,0.0,7.2,,0.0,78.0,56.0,80.0,94.0,83.0,80.0,45.0,1.0,4.0,8.0,,84.0,0.94,
6.66,69.0,1.83,0.0,75.0,94.0,40.0,0.0,1.0,3.1,0.14,3.0,71.0,91.0,74.0,91.0,51.0,39.0,80.0,1.0,4.0,8.0,0.9,30.0,9.66,23.14
8.48,88.0,1.02,0.0,95.0,59.0,97.0,1.0,1.0,4.6,0.07,2.0,88.0,84.0,94.0,43.0,56.0,48.0,98.0,1.0,7.0,5.0,182.0,35.0,1.24,55.59
6.9,89.0,2.31,1.0,52.0,72.0,98.0,2.0,4.0,4.7,0.98,5.0,43.0,61.0,43.0,,85.0,42.0,62.0,1.0,5.0,6.0,171.0,87.0,11.35,
7.84,79.0,1.84,1.0,51.0,86.0,30.0,0.0,2.0,10.0,0.96,6.0,83.0,49.0,32.0,79.0,62.0,77.0,82.0,0.0,1.0,2.0,,63.0,2.98,
7.96,78.0,1.62,,76.0,60.0,92.0,4.0,3.0,7.4,0.06,6.0,84.0,58.0,53.0,77.0,69.0,85.0,69.0,1.0,6.0,4.0,165.4,28.0,6.39,59.32
6.33,66.0,0.72,,49.0,56.0,58.0,4.0,2.0,17.1,0.44,0.0,71.0,78.0,94.0,96.0,,,42.0,1.0,4.0,6.0,238.3,91.0,1.23,
9.86,72.0,1.39,1.0,99.0,96.0,41.0,2.0,2.0,2.3,0.19,4.0,43.0,92.0,77.0,69.0,79.0,79.0,56.0,0.0,5.0,0.0,62.0,97.0,10.79,61.61
8.99,69.0,1.42,1.0,95.0,49.0,70.0,3.0,4.0,17.5,0.49,7.0,92.0,61.0,39.0,49.0,60.0,74.0,58.0,1.0,5.0,11.0,61.5,98.0,11.77,67.58
9.73,70.0,2.23,1.0,48.0,78.0,31.0,5.0,3.0,4.2,0.83,3.0,40.0,79.0,42.0,69.0,80.0,88.0,98.0,0.0,6.0,0.0,46.6,81.0,2.18,50.37
9.53,81.0,1.59,0.0,91.0,86.0,66.0,3.0,0.0,13.9,0.95,2.0,72.0,99.0,43.0,,52.0,68.0,99.0,1.0,5.0,4.0,181.0,34.0,3.9,
8.19,62.0,1.26,0.0,46.0,45.0,74.0,0.0,3.0,6.1,0.63,3.0,46.0,45.0,39.0,46.0,51.0,50.0,48.0,0.0,6.0,8.0,88.3,25.0,0.68,0.0
9.65,79.0,2.45,0.0,41.0,83.0,77.0,3.0,0.0,2.6,0.35,6.0,48.0,94.0,69.0,75.0,97.0,84.0,59.0,0.0,6.0,6.0,247.2,20.0,9.55,52.51
5.9,71.0,0.72,0.0,93.0,,53.0,2.0,3.0,15.4,0.6,1.0,40.0,94.0,52.0,74.0,52.0,86.0,37.0,0.0,7.0,0.0,178.7,39.0,4.08,
6.38,83.0,1.35,1.0,95.0,70.0,51.0,0.0,1.0,5.6,0.31,2.0,55.0,80.0,84.0,63.0,64.0,70.0,39.0,0.0,5.0,11.0,91.8,55.0,7.27,30.5
5.7,62.0,0.58,,99.0,61.0,40.0,1.0,3.0,11.9,0.91,7.0,57.0,59.0,92.0,78.0,66.0,99.0,99.0,0.0,7.0,4.0,,21.0,0.95,
6.96,69.0,1.98,1.0,62.0,92.0,87.0,3.0,4.0,10.2,0.87,,93.0,63.0,71.0,75.0,97.0,78.0,88.0,0.0,5.0,7.0,148.0,89.0,8.73,
7.25,81.0,2.34,1.0,78.0,71.0,75.0,,0.0,8.5,0.56,6.0,86.0,,95.0,84.0,,73.0,53.0,0.0,3.0,7.0,73.7,21.0,6.59,
6.72,61.0,1.06,1.0,79.0,68.0,58.0,5.0,2.0,8.9,0.32,4.0,45.0,86.0,76.0,59.0,97.0,64.0,88.0,0.0,6.0,11.0,226.4,22.0,8.84,50.81
9.23,57.0,2.22,1.0,78.0,79.0,64.0,0.0,4.0,13.2,0.29,2.0,41.0,49.0,81.0,88.0,54.0,34.0,44.0,0.0,2.0,1.0,110.4,26.0,9.58,28.1
7.11,83.0,1.08,0.0,60.0,90.0,44.0,4.0,0.0,1.6,0.03,6.0,48.0,63.0,47.0,71.0,83.0,80.0,50.0,1.0,6.0,6.0,73.2,83.0,1.53,36.22
6.76,78.0,2.32,0.0,62.0,86.0,89.0,3.0,0.0,12.0,0.82,4.0,43.0,87.0,47.0,98.0,82.0,86.0,80.0,1.0,2.0,9.0,147.1,60.0,7.15,56.87
7.94,57.0,2.01,0.0,68.0,98.0,71.0,2.0,2.0,16.1,0.45,1.0,84.0,83.0,53.0,78.0,94.0,87.0,63.0,1.0,5.0,4.0,34.2,73.0,7.97,59.38
6.13,74.0,2.11,0.0,53.0,83.0,,3.0,1.0,1.0,0.33,4.0,62.0,49.0,52.0,88.0,,65.0,49.0,1.0,4.0,8.0,140.4,60.0,6.44,
9.11,69.0,0.54,0.0,65.0,70.0,78.0,5.0,4.0,2.5,0.47,3.0,93.0,96.0,41.0,65.0,,39.0,82.0,0.0,1.0,2.0,14.0,24.0,2.6,
5.84,79.0,2.43,0.0,90.0,93.0,93.0,1.0,2.0,12.9,0.82,0.0,82.0,56.0,52.0,65.0,52.0,79.0,45.0,0.0,7.0,0.0,151.7,82.0,9.65,39.85
9.94,84.0,1.95,1.0,44.0,82.0,61.0,5.0,2.0,7.9,0.12,3.0,84.0,63.0,50.0,75.0,96.0,66.0,68.0,0.0,5.0,3.0,132.5,20.0,11.97,56.78
8.98,68.0,1.11,0.0,94.0,67.0,93.0,3.0,1.0,7.3,,7.0,82.0,91.0,,82.0,97.0,49.0,70.0,1.0,1.0,6.0,130.2,44.0,11.65,
6.39,,2.16,0.0,70.0,66.0,31.0,4.0,4.0,2.5,0.9,6.0,90.0,56.0,63.0,74.0,92.0,42.0,64.0,1.0,3.0,0.0,171.0,65.0,9.44,
5.52,71.0,1.06,0.0,64.0,48.0,53.0,3.0,2.0,9.1,0.95,,47.0,80.0,31.0,82.0,99.0,48.0,53.0,0.0,2.0,1.0,11.1,34.0,5.31,
9.17,74.0,2.25,0.0,70.0,93.0,95.0,0.0,1.0,2.3,0.4,5.0,78.0,56.0,98.0,74.0,70.0,85.0,67.0,0.0,7.0,4.0,114.9,88.0,4.38,59.11
8.68,90.0,0.73,0.0,89.0,53.0,67.0,3.0,4.0,8.6,0.22,3.0,64.0,62.0,60.0,51.0,90.0,74.0,56.0,,3.0,8.0,111.0,36.0,1.29,63.5
8.78,,1.91,1.0,59.0,48.0,60.0,4.0,3.0,13.7,0.37,2.0,55.0,93.0,97.0,72.0,57.0,89.0,70.0,0.0,4.0,0.0,114.9,40.0,5.29,
8.97,92.0,1.58,0.0,83.0,51.0,55.0,0.0,0.0,4.6,0.33,7.0,74.0,95.0,99.0,75.0,71.0,97.0,57.0,0.0,4.0,11.0,245.0,72.0,2.29,65.97
5.83,76.0,0.69,1.0,94.0,67.0,58.0,2.0,1.0,8.7,0.18,1.0,56.0,92.0,48.0,53.0,54.0,86.0,97.0,,6.0,3.0,34.8,74.0,3.42,33.51
7.11,56.0,0.98,0.0,56.0,46.0,96.0,0.0,0.0,17.9,0.61,7.0,57.0,87.0,42.0,72.0,66.0,83.0,60.0,0.0,7.0,11.0,172.6,29.0,,
6.02,78.0,0.52,1.0,84.0,93.0,54.0,5.0,3.0,12.4,0.48,5.0,99.0,78.0,94.0,85.0,86.0,66.0,94.0,1.0,7.0,2.0,100.5,76.0,11.64,83.89
9.38,62.0,1.44,0.0,41.0,68.0,77.0,1.0,2.0,15.1,0.87,5.0,66.0,92.0,35.0,84.0,63.0,66.0,39.0,0.0,7.0,4.0,127.9,84.0,11.41,45.25
8.3,65.0,1.1,0.0,64.0,84.0,94.0,5.0,2.0,7.5,0.03,5.0,54.0,77.0,56.0,84.0,88.0,43.0,88.0,1.0,5.0,4.0,190.6,56.0,2.72,62.24
6.99,67.0,1.7,0.0,52.0,99.0,82.0,0.0,4.0,13.8,0.64,6.0,99.0,93.0,81.0,63.0,90.0,73.0,72.0,,6.0,9.0,39.3,26.0,10.86,66.49
,71.0,1.09,1.0,,75.0,96.0,2.0,1.0,,0.76,0.0,56.0,62.0,77.0,54.0,,71.0,96.0,0.0,4.0,1.0,190.9,95.0,2.13,
6.9,62.0,1.1,0.0,78.0,91.0,47.0,3.0,1.0,2.2,0.76,4.0,82.0,73.0,97.0,70.0,,30.0,,1.0,4.0,4.0,17.6,59.0,6.34,
6.96,75.0,1.99,0.0,67.0,75.0,38.0,0.0,4.0,3.7,0.89,2.0,44.0,89.0,73.0,56.0,66.0,52.0,46.0,1.0,6.0,8.0,120.8,,7.9,
8.78,72.0,0.6,1.0,81.0,91.0,67.0,5.0,0.0,7.2,0.73,,,49.0,46.0,51.0,84.0,93.0,56.0,1.0,3.0,4.0,185.5,20.0,5.82,
8.37,84.0,2.31,1.0,94.0,84.0,50.0,0.0,2.0,15.2,0.93,6.0,54.0,69.0,67.0,61.0,89.0,57.0,43.0,0.0,1.0,10.0,48.1,39.0,11.45,57.3
9.49,72.0,2.2,0.0,45.0,92.0,94.0,0.0,2.0,6.2,0.33,7.0,81.0,68.0,39.0,62.0,71.0,33.0,63.0,0.0,2.0,9.0,192.7,50.0,4.33,44.21
7.62,85.0,1.84,1.0,42.0,95.0,50.0,0.0,1.0,11.8,0.5,1.0,85.0,,83.0,65.0,94.0,70.0,78.0,0.0,,1.0,41.7,87.0,6.56,
6.04,92.0,1.69,0.0,97.0,87.0,56.0,2.0,1.0,12.8,0.01,6.0,73.0,82.0,35.0,53.0,97.0,89.0,61.0,1.0,6.0,6.0,199.8,31.0,1.37,58.67
8.71,86.0,2.28,0.0,74.0,78.0,99.0,4.0,4.0,10.6,0.01,0.0,87.0,77.0,35.0,51.0,78.0,47.0,89.0,1.0,4.0,5.0,117.2,41.0,10.3,60.28
8.92,65.0,0.87,0.0,57.0,99.0,73.0,4.0,3.0,6.4,0.24,7.0,58.0,54.0,81.0,89.0,59.0,92.0,39.0,0.0,3.0,6.0,171.2,,5.25,
8.03,79.0,0.66,1.0,50.0,68.0,57.0,0.0,0.0,10.4,0.1,6.0,47.0,81.0,44.0,43.0,67.0,90.0,86.0,0.0,7.0,7.0,229.4,20.0,8.56,26.47
8.97,87.0,0.98,1.0,93.0,93.0,74.0,2.0,3.0,6.2,0.26,6.0,86.0,77.0,97.0,98.0,84.0,78.0,47.0,1.0,7.0,9.0,102.1,22.0,8.35,90.05
7.72,92.0,2.09,0.0,59.0,70.0,46.0,2.0,3.0,1.5,0.18,3.0,49.0,67.0,86.0,85.0,93.0,76.0,76.0,0.0,2.0,4.0,58.2,95.0,8.28,47.58
7.85,62.0,0.57,0.0,44.0,60.0,69.0,0.0,1.0,17.9,0.03,1.0,44.0,55.0,85.0,90.0,65.0,68.0,49.0,0.0,7.0,1.0,216.8,40.0,6.33,19.67
7.42,65.0,1.67,0.0,58.0,91.0,32.0,5.0,1.0,2.3,0.91,5.0,91.0,68.0,36.0,52.0,99.0,35.0,52.0,0.0,7.0,6.0,40.4,32.0,3.69,34.44
,76.0,2.49,1.0,61.0,57.0,95.0,5.0,1.0,1.3,0.01,1.0,87.0,68.0,80.0,96.0,98.0,82.0,,0.0,3.0,6.0,157.9,80.0,,
5.99,78.0,2.21,1.0,98.0,59.0,75.0,1.0,3.0,15.8,0.74,1.0,92.0,51.0,87.0,94.0,56.0,54.0,36.0,1.0,1.0,7.0,230.8,32.0,11.56,44.98
5.64,71.0,1.54,0.0,99.0,71.0,59.0,0.0,0.0,5.4,0.15,3.0,65.0,94.0,93.0,57.0,79.0,94.0,47.0,,3.0,6.0,168.6,,10.09,
8.36,66.0,0.63,1.0,58.0,48.0,98.0,1.0,1.0,11.7,0.91,4.0,61.0,65.0,55.0,82.0,68.0,34.0,81.0,0.0,2.0,9.0,48.9,25.0,1.75,39.16
6.91,86.0,2.16,1.0,86.0,60.0,38.0,5.0,2.0,5.9,0.89,6.0,83.0,64.0,87.0,67.0,72.0,94.0,84.0,1.0,7.0,6.0,38.1,44.0,0.77,63.12
7.79,69.0,1.7,0.0,55.0,74.0,40.0,5.0,0.0,7.0,0.65,2.0,62.0,97.0,60.0,77.0,57.0,37.0,46.0,0.0,2.0,8.0,63.1,42.0,6.24,26.83
9.58,70.0,0.73,0.0,63.0,88.0,98.0,0.0,2.0,4.7,0.67,5.0,52.0,54.0,95.0,80.0,66.0,68.0,47.0,0.0,4.0,7.0,97.9,45.0,9.42,53.66
6.62,76.0,0.69,0.0,80.0,74.0,95.0,1.0,0.0,6.2,0.01,7.0,48.0,69.0,42.0,83.0,70.0,72.0,,1.0,1.0,1.0,39.8,23.0,4.11,
,82.0,2.32,0.0,43.0,80.0,60.0,1.0,1.0,7.4,0.98,4.0,88.0,91.0,47.0,58.0,75.0,34.0,93.0,1.0,5.0,1.0,199.5,54.0,8.56,
8.9,74.0,1.84,0.0,54.0,47.0,62.0,0.0,,13.0,0.88,0.0,59.0,,42.0,85.0,77.0,33.0,79.0,0.0,4.0,6.0,89.3,94.0,11.22,
6.53,87.0,2.16,0.0,64.0,66.0,68.0,1.0,1.0,9.2,0.9,6.0,67.0,92.0,53.0,86.0,88.0,,77.0,0.0,7.0,9.0,234.0,44.0,5.78,
5.85,,2.26,1.0,83.0,93.0,75.0,3.0,3.0,17.0,0.66,5.0,83.0,91.0,86.0,82.0,82.0,85.0,57.0,0.0,,10.0,210.6,39.0,3.31,
6.8,94.0,1.64,0.0,94.0,66.0,66.0,5.0,3.0,0.8,0.34,2.0,96.0,59.0,58.0,77.0,89.0,74.0,79.0,1.0,3.0,9.0,227.2,20.0,11.05,63.83
6.23,86.0,,0.0,74.0,94.0,89.0,4.0,0.0,9.1,0.89,6.0,76.0,88.0,85.0,85.0,68.0,94.0,57.0,0.0,3.0,2.0,73.6,87.0,5.93,
9.68,87.0,1.36,0.0,94.0,94.0,60.0,2.0,3.0,10.5,0.29,0.0,63.0,84.0,83.0,42.0,78.0,32.0,68.0,0.0,2.0,0.0,143.4,42.0,5.19,62.56
9.14,56.0,1.13,0.0,53.0,99.0,40.0,1.0,1.0,16.6,0.56,3.0,83.0,84.0,34.0,58.0,69.0,51.0,50.0,0.0,6.0,8.0,80.4,41.0,4.56,37.15
8.35,87.0,1.37,0.0,88.0,93.0,31.0,1.0,2.0,0.9,0.1,4.0,72.0,94.0,64.0,59.0,69.0,85.0,97.0,1.0,2.0,2.0,64.2,81.0,5.36,56.59
,87.0,2.05,0.0,58.0,56.0,56.0,2.0,1.0,10.3,0.92,6.0,59.0,50.0,48.0,64.0,59.0,47.0,85.0,0.0,6.0,0.0,151.8,20.0,8.25,
9.12,67.0,1.7,0.0,77.0,99.0,31.0,1.0,0.0,15.4,0.14,5.0,99.0,81.0,84.0,50.0,61.0,54.0,66.0,0.0,2.0,5.0,204.5,78.0,5.49,52.79
6.34,84.0,2.29,0.0,75.0,65.0,50.0,2.0,3.0,4.4,0.22,1.0,87.0,46.0,98.0,95.0,82.0,77.0,72.0,0.0,5.0,3.0,23.4,87.0,4.23,45.03
9.52,87.0,1.39,0.0,46.0,48.0,87.0,0.0,2.0,15.8,0.56,7.0,69.0,56.0,73.0,56.0,74.0,60.0,90.0,0.0,5.0,0.0,68.9,38.0,9.05,49.34
7.93,67.0,1.71,0.0,69.0,75.0,,3.0,4.0,0.3,0.76,7.0,83.0,48.0,67.0,99.0,74.0,59.0,51.0,1.0,4.0,3.0,51.3,49.0,2.83,
9.13,80.0,1.76,1.0,58.0,88.0,81.0,3.0,2.0,13.2,0.62,7.0,48.0,67.0,91.0,98.0,53.0,95.0,73.0,1.0,5.0,,199.6,20.0,2.82,
9.53,76.0,1.68,0.0,88.0,75.0,74.0,5.0,2.0,16.8,0.23,2.0,84.0,57.0,51.0,88.0,53.0,39.0,75.0,1.0,6.0,10.0,233.3,67.0,8.51,68.95
6.93,93.0,1.91,0.0,64.0,67.0,49.0,4.0,1.0,11.8,0.0,6.0,88.0,61.0,69.0,,58.0,88.0,82.0,1.0,2.0,6.0,20.0,38.0,10.47,
6.0,56.0,0.97,1.0,55.0,98.0,90.0,1.0,4.0,7.9,0.76,7.0,56.0,75.0,55.0,74.0,64.0,80.0,62.0,0.0,6.0,,94.8,71.0,3.27,
6.53,92.0,1.52,0.0,86.0,97.0,67.0,4.0,0.0,0.8,0.99,5.0,75.0,60.0,34.0,53.0,75.0,38.0,84.0,1.0,4.0,0.0,228.6,41.0,2.7,45.84
7.42,93.0,0.71,0.0,93.0,64.0,,0.0,0.0,16.6,0.81,1.0,,85.0,83.0,98.0,64.0,83.0,35.0,0.0,4.0,9.0,86.2,69.0,8.21,
9.18,80.0,1.27,1.0,79.0,59.0,54.0,3.0,2.0,8.5,0.46,5.0,58.0,70.0,78.0,78.0,75.0,91.0,84.0,0.0,7.0,11.0,178.2,85.0,7.64,69.59
9.37,69.0,1.48,0.0,90.0,67.0,31.0,0.0,2.0,0.5,0.9,6.0,46.0,72.0,32.0,96.0,77.0,38.0,53.0,1.0,1.0,8.0,25.2,25.0,,
5.53,88.0,1.8,0.0,47.0,72.0,61.0,,3.0,12.4,0.41,0.0,98.0,45.0,67.0,,56.0,38.0,,1.0,5.0,5.0,111.1,83.0,1.6,
7.8,94.0,2.4,1.0,57.0,60.0,55.0,1.0,4.0,8.7,0.52,1.0,42.0,91.0,43.0,42.0,81.0,53.0,75.0,1.0,3.0,1.0,125.8,40.0,1.56,31.49
7.38,65.0,1.7,1.0,67.0,81.0,99.0,0.0,2.0,2.2,0.48,1.0,72.0,56.0,76.0,,61.0,68.0,44.0,1.0,3.0,2.0,,38.0,9.44,
6.5,57.0,1.99,1.0,55.0,65.0,70.0,3.0,3.0,3.9,0.45,5.0,83.0,81.0,43.0,97.0,84.0,37.0,,1.0,1.0,6.0,72.2,56.0,5.7,
6.04,60.0,1.51,0.0,91.0,59.0,,4.0,4.0,1.2,,3.0,71.0,99.0,67.0,88.0,81.0,54.0,68.0,0.0,2.0,2.0,66.0,82.0,10.37,
7.02,63.0,1.77,,58.0,61.0,30.0,3.0,0.0,10.3,0.53,6.0,86.0,94.0,93.0,80.0,58.0,95.0,73.0,1.0,1.0,2.0,75.7,48.0,7.11,38.88
