name,gender,age,class,embarked,country,ticketno,fare,survived
"Arnold-Franchi, Mr. Josef",male,25.0,3rd,S,Switzerland,349237.0,17.16,0
"Arnold-Franchi, Mrs. Josefine",female,18.0,3rd,S,Switzerland,349237.0,17.16,0
"Aronsson, Mr. Ernst Axel Algot",male,25.0,3rd,S,Sweden,349911.0,7.1506,0
"Artagaveytia, Mr. Ramon",male,71.0,1st,C,Argentina,17609.0,49.1001,0
"Ashby, Mr. John",male,57.0,2nd,S,England,244346.0,13.0,0
"Asim, Mr. Adola",male,35.0,3rd,S,Argentina,3101310.0,7.01,0
"Asplund, Master. Carl Edgar",male,5.0,3rd,S,Sweden,347077.0,31.0709,0
"Asplund, Master. Clarence Gustaf Hugo",male,9.0,3rd,S,Sweden,347077.0,31.0709,0
"Asplund, Master. Edvin Rojj Felix",male,3.0,3rd,S,Sweden,347077.0,31.0709,1
"Asplund, Master. Filip Oscar",male,13.0,3rd,S,Sweden,347077.0,31.0709,0
"Asplund, Miss. Lillian Gertrud",female,5.0,3rd,S,Sweden,347077.0,31.0709,1
"Asplund, Mr. Carl Oscar Vilhelm Gustafsson",male,40.0,3rd,S,Sweden,347077.0,31.0709,0
"Asplund, Mr. Johan Charles",male,13.0,3rd,S,Sweden,350054.0,7.1511,1
"Asplund, Mrs. Selma Augusta Emilia",female,38.0,3rd,S,Sweden,347077.0,31.0709,1
"Assaf, Mrs. Mariana",female,45.0,3rd,C,Lebanon,2696.0,7.0406,1
"Assam, Mr. Ali",male,23.0,3rd,S,Argentina,3101309.0,7.01,0
"Astor, Colonel. John Jacob",male,47.0,1st,C,United States,17757.0,247.1006,0
"Astor, Mrs. Madeleine Talmage",female,18.0,1st,C,United States,17757.0,247.1006,1
"Attalah, Miss. Malake",female,17.0,3rd,C,Lebanon,2627.0,14.0902,0
"Attala, Mr. Sleiman",male,27.0,3rd,C,Canada,2694.0,7.0406,0
"Aubart, Mme. Léontine Pauline",female,24.0,1st,C,France,17477.0,69.06,1
"Augustsson, Mr. Albert",male,23.0,3rd,S,Sweden,347468.0,7.1701,0
"Ayoub Daher, Miss. Banoura",female,15.0,3rd,C,Lebanon,2687.0,7.0407,1
"Backström, Mr. Karl Alfred",male,32.0,3rd,S,Finland,3101278.0,15.17,0
"Backström, Mrs. Maria Mathilda",female,33.0,3rd,S,Finland,3101278.0,15.17,1
"Baclini, Miss. Eugenie",female,3.0,3rd,C,Lebanon,2666.0,19.0502,1
"Baclini, Miss. Helene Barbara",female,0.75,3rd,C,Lebanon,2666.0,19.0502,1
"Baclini, Miss. Marie Catherine",female,5.0,3rd,C,Lebanon,2666.0,19.0502,1
"Baclini, Mrs. Latifa",female,23.0,3rd,C,Lebanon,2666.0,19.0502,1
"Badman, Miss. Emily Louisa",female,18.0,3rd,S,England,31416.0,8.01,1
"Badt, Mr. Mohamed",male,40.0,3rd,C,Lebanon,2623.0,7.0406,0
"Bailey, Mr. Percy",male,18.0,2nd,S,England,29108.0,11.1,0
"Bainbrigge, Mr. Charles Robert",male,22.0,2nd,S,Channel Islands,31030.0,10.1,0
"Balkic, Mr. Cerin",male,26.0,3rd,S,Bosnia,349248.0,7.1711,0
"Balls, Mrs. Ada E.",female,36.0,2nd,S,England,28551.0,13.0,1
"Banfield, Mr. Frederick James",male,28.0,2nd,S,England,34068.0,10.1,0
"Banski, Mrs. Mara",female,31.0,3rd,S,Hungary,349244.0,8.1308,1
"Barbara, Miss. Saiide",female,18.0,3rd,C,Lebanon,2691.0,14.0901,0
"Barbara, Mrs. Catherine David",female,45.0,3rd,C,Lebanon,2691.0,14.0901,0
"Barber, Miss. Ellen Mary",female,27.0,1st,S,,19877.0,78.17,1
"Barkworth, Mr. Algernon Henry",male,47.0,1st,S,England,27042.0,30.0,1
"Barry, Miss. Julia",female,33.0,3rd,Q,Ireland,330844.0,7.1707,0
"Barton, Mr. David John",male,22.0,3rd,S,England,324669.0,8.01,0
"Bassani, Mrs. Albina",female,32.0,1st,C,Italy,11813.0,76.051,1
"Bateman, Revd. Robert James",male,52.0,2nd,S,England,1166.0,12.1006,0
"Batoshev, Mr. Hristo Lalev",male,23.0,3rd,S,Bulgaria,349217.0,7.1711,0
"Baumann, Mr. John D.",male,60.0,1st,C,United States,17318.0,25.1806,0
"Baxter, Mr. Quigg Edmond",male,24.0,1st,C,Canada,17558.0,247.1005,0
"Baxter, Mrs. Hélène",female,50.0,1st,C,Canada,17558.0,247.1005,1
"Beane, Mr. Edward",male,32.0,2nd,S,England,2908.0,26.0,1
"Beane, Mrs. Ethel",female,22.0,2nd,S,England,2908.0,26.0,1
"Beattie, Mr. Thomson",male,36.0,1st,S,Canada,13050.0,75.041,0
"Beauchamp, Mr. Henry James",male,44.0,2nd,S,England,244358.0,26.0,0
"Beavan, Mr. William Thomas",male,20.0,3rd,S,England,323951.0,8.01,0
"Becker, Master. Richard F.",male,1.0,2nd,S,India,230136.0,39.0,1
"Becker, Miss. Marion Louise",female,4.0,2nd,S,India,230136.0,39.0,1
"Becker, Miss. Ruth Elizabeth",female,12.0,2nd,S,India,230136.0,39.0,1
"Becker, Mrs. Nellie E.",female,35.0,2nd,S,United States,230136.0,39.0,1
"Beckwith, Mr. Richard Leonard",male,37.0,1st,S,United States,11751.0,52.1101,1
"Beckwith, Mrs. Sallie",female,46.0,1st,S,United States,11751.0,52.1101,1
"Beesley, Mr. Lawrence",male,34.0,2nd,S,England,248698.0,13.0,1
"Behr, Mr. Karl Howell",male,26.0,1st,C,United States,111369.0,30.0,1
"Bengtsson, Mr. Johan Viktor",male,26.0,3rd,S,Sweden,347068.0,7.1506,0
"Bentham, Miss. Lillian W.",female,19.0,2nd,S,United States,28404.0,13.0,1
"Berglund, Mr. Karl Ivar Sven",male,22.0,3rd,S,Finland,4348.0,9.07,0
"Berriman, Mr. William John",male,23.0,2nd,S,England,28425.0,13.0,0
"Bessette, Miss. Nellie Mayo",female,39.0,1st,C,United States,17760.0,63.0702,1
"Bidois, Miss. Rosalie",female,46.0,1st,C,,17757.0,247.1006,1
"Bing, Mr. Lee",male,32.0,3rd,S,,1601.0,56.0911,1
"Bird, Miss. Ellen",female,31.0,1st,S,England,17483.0,221.1507,1
"Birkeland, Mr. Hans Martin Monsen",male,21.0,3rd,S,Norway,312992.0,7.1506,0
"Birnbaum, Mr. Jakob",male,24.0,1st,C,,13905.0,26.0,0
"Bishop, Mr. Dickinson H.",male,25.0,1st,C,United States,11967.0,91.0107,1
"Bishop, Mrs. Helen",female,19.0,1st,C,United States,11967.0,91.0107,1
"Björklund, Mr. Ernst Herbert",male,18.0,3rd,S,Sweden,347090.0,7.15,0
"Björnström-Steffansson, Mr. Mauritz Hokan",male,28.0,1st,S,Sweden,110564.0,26.11,1
"Blackwell, Mr. Stephen Weart",male,45.0,1st,S,United States,113784.0,35.1,0
"Blank, Mr. Henry",male,39.0,1st,C,United States,112277.0,31.0,1
"Bonnell, Miss. Caroline",female,30.0,1st,S,United States,36928.0,164.1704,1
"Bonnell, Miss. Elizabeth",female,61.0,1st,S,England,113783.0,26.11,1
"Borebank, Mr. John James",male,41.0,1st,S,England,110489.0,26.11,0
"Bostandyeff, Mr. Guentcho",male,26.0,3rd,S,,349224.0,7.1711,0
"Botsford, Mr. William Hull",male,25.0,2nd,S,United States,237670.0,13.0,0
"Bourke, Miss. Mary",female,40.0,3rd,Q,Ireland,364848.0,7.15,0
"Bourke, Mr. John",male,42.0,3rd,Q,Ireland,364849.0,15.1,0
"Bourke, Mrs. Catherine",female,32.0,3rd,Q,Ireland,364849.0,15.1,0
"Bowen, Miss. Grace Scott",female,45.0,1st,C,United States,17608.0,262.0706,1
"Bowen, Mr. David John 'Dai'",male,26.0,3rd,S,Wales,54636.0,16.02,0
"Bowenur, Mr. Solomon",male,42.0,2nd,S,,211535.0,13.0,0
"Bowerman, Miss. Elsie Edith",female,22.0,1st,S,England,113505.0,55.0,1
"Bracken, Mr. James Hollen",male,30.0,2nd,S,United States,220367.0,13.0,0
"Bradley, Miss. Bridget Delia",female,22.0,3rd,Q,Ireland,334914.0,7.1406,1
"Brady, Mr. John Bertram",male,41.0,1st,S,United States,113054.0,30.1,0
"Braf, Miss. Elin Ester Maria",female,20.0,3rd,S,Sweden,347471.0,7.1701,0
"Brailey, Mr. William Theodore Ronald",male,24.0,2nd,S,England,250654.0,,0
"Brandeis, Mr. Emil Franklin",male,48.0,1st,C,United States,17591.0,50.0911,0
"Braund, Mr. Lewis Richard",male,29.0,3rd,S,England,3460.0,7.0,0
"Braund, Mr. Owen Harris",male,23.0,3rd,S,England,21171.0,7.05,0
"Brereton, Mr. George Andrew",male,37.0,1st,S,United States,111427.0,26.11,1
"Brewe, Dr. Arthur Jackson",male,46.0,1st,C,United States,112379.0,39.12,0
"Bricoux, Mr. Roger Marie",male,20.0,2nd,S,France,250654.0,,0
"Brito, Mr. José Joaquim de",male,32.0,2nd,S,,244360.0,13.0,0
"Brobäck, Mr. Karl Rudolf",male,22.0,3rd,S,Sweden,350045.0,7.1511,0
"Brocklebank, Mr. William Alfred",male,40.0,3rd,S,England,364512.0,8.01,0
"Brown, Miss. Amelia Mary",female,18.0,2nd,S,England,248733.0,13.0,1
"Brown, Miss. Edith Eileen",female,15.0,2nd,S,South Africa,29750.0,39.0,1
"Brown, Mrs. Caroline Lane",female,59.0,1st,S,United States,11769.0,51.0907,1
"Brown, Mrs. Elizabeth Catherine",female,40.0,2nd,S,South Africa,29750.0,39.0,1
"Brown, Mrs. Margaret",female,44.0,1st,C,United States,17610.0,27.1405,1
"Brown, Mr. Thomas William Solomon",male,60.0,2nd,S,South Africa,29750.0,39.0,0
"Bryhl, Miss. Dagmar Jenny Ingeborg",female,20.0,2nd,S,Sweden,236853.0,26.0,1
"Bryhl, Mr. Kurt Arnold Gottfrid",male,25.0,2nd,S,Sweden,236853.0,26.0,0
"Buckley, Miss. Katherine",female,22.0,3rd,Q,Ireland,329944.0,7.0508,0
"Buckley, Mr. Daniel",male,21.0,3rd,Q,Ireland,330920.0,7.1517,1
"Bucknell, Mrs. Emma Eliza",female,58.0,1st,C,India,11813.0,76.051,1
"Būlus, Master. Akar",male,7.0,3rd,C,Lebanon,2678.0,15.0411,0
"Būlus, Miss. Nūr al-'ayn",female,10.0,3rd,C,Lebanon,2678.0,15.0411,0
"Būlus, Mrs. Sultānah",female,40.0,3rd,C,Lebanon,2678.0,15.0411,0
"Burke, Mr. Jeremiah",male,19.0,3rd,Q,Ireland,365222.0,6.15,0
"Burns, Miss. Elizabeth Margaret",female,41.0,1st,C,,16966.0,134.1,1
"Burns, Miss. Mary Delia",female,17.0,3rd,Q,Ireland,330963.0,7.1707,0
"Buss, Miss. Kate",female,36.0,2nd,S,England,27849.0,13.0,1
"Butler, Mr. Reginald Fenton",male,26.0,2nd,S,England,234686.0,13.0,0
"Butrus-Ka'wī, Mr. Tannūs",male,21.0,3rd,C,Lebanon,2648.0,7.0407,0
"Butt, Major. Archibald Willingham",male,46.0,1st,S,United States,113050.0,26.11,0
"Byles, Fr. Thomas Roussel Davids",male,42.0,2nd,S,England,244310.0,13.0,0
"Byström, Mrs. Karolina",female,40.0,2nd,S,United States,236852.0,13.0,1
"Cacic, Miss. Manda",female,21.0,3rd,S,Croatia (Modern),315087.0,8.1303,0
"Cacic, Miss. Marija",female,30.0,3rd,S,Croatia (Modern),315084.0,8.1303,0
"Cacic, Mr. Jego Grga",male,18.0,3rd,S,Croatia (Modern),315091.0,8.1303,0
"Cacic, Mr. Luka",male,38.0,3rd,S,Croatia (Modern),315089.0,8.1303,0
"Cairns, Mr. Alexander Milne",male,28.0,1st,S,Scotland,113798.0,31.0,0
"Calderhead, Mr. Edward Pennington",male,42.0,1st,S,United States,17476.0,26.0509,1
"Caldwell, Master. Alden Gates",male,0.8333333333,2nd,S,Siam,248738.0,29.0,1
"Caldwell, Mr. Albert Francis",male,26.0,2nd,S,Siam,248738.0,29.0,1
"Caldwell, Mrs. Sylvia Mae",female,28.0,2nd,S,United States,248738.0,29.0,1
"Calic, Mr. Jovo",male,17.0,3rd,S,Croatia (Modern),315093.0,8.1303,0
"Calic, Mr. Petar",male,17.0,3rd,S,Croatia (Modern),315086.0,8.1303,0
"Cameron, Miss. Clear Annie",female,35.0,2nd,S,England,13528.0,21.0,1
"Campbell, Mr. William Henry",male,21.0,2nd,B,Northern Ireland,239853.0,,0
"Canavan, Miss. Mary",female,22.0,3rd,Q,Ireland,364846.0,7.15,0
"Canavan, Mr. Patrick",male,21.0,3rd,Q,Ireland,364858.0,7.15,0
"Candee, Mrs. Helen Churchill",female,52.0,1st,C,United States,17606.0,27.0811,1
"Cann, Mr. Ernest",male,29.0,3rd,S,England,2152.0,8.01,0
"Caram, Mr. Joseph",male,28.0,3rd,C,Canada,2689.0,14.0902,0
"Caram, Mrs. Maria Elias",female,18.0,3rd,C,Lebanon,2689.0,14.0902,0
"Carbines, Mr. William",male,19.0,2nd,S,England,28424.0,13.0,0
"Cardeza, Mrs. Charlotte Wardle",female,58.0,1st,C,United States,17755.0,512.0607,1
"Cardeza, Mr. Thomas Drake Martinez",male,36.0,1st,C,United States,17755.0,512.0607,1
"Carlsson, Mr. August Sigfrid",male,28.0,3rd,S,Sweden,350042.0,7.1511,0
"Carlsson, Mr. Carl Robert",male,24.0,3rd,S,Sweden,350409.0,7.1701,0
"Carlsson, Mr. Frans Olof",male,33.0,1st,S,United States,695.0,5.0,0
"Carraú-Esteves, Mr. José Pedro",male,17.0,1st,S,Uruguay,113059.0,47.02,0
"Carrau, Mr. Francisco Mauro Severiano",male,27.0,1st,S,Uruguay,113059.0,47.02,0
"Carr, Miss. Jane",female,45.0,3rd,Q,Ireland,368364.0,7.15,0
"Carter, Fr. Ernest Courtenay",male,54.0,2nd,S,England,244252.0,26.0,0
"Carter, Master. William Thornton II",male,11.0,1st,S,United States,113760.0,120.0,1
"Carter, Miss. Lucile Polk",female,13.0,1st,S,United States,113760.0,120.0,1
"Carter, Mrs. Lilian",female,45.0,2nd,S,England,244252.0,26.0,0
"Carter, Mrs. Lucile",female,36.0,1st,S,United States,113760.0,120.0,1
"Carter, Mr. William Ernest",male,36.0,1st,S,United States,113760.0,120.0,1
"Carver, Mr. Alfred John",male,28.0,3rd,S,England,370160.0,7.05,0
"Case, Mr. Howard Brown",male,49.0,1st,S,United States,19924.0,26.0,0
"Cassebeer, Mrs. Eleanor Genevieve",female,36.0,1st,C,United States,17770.0,27.1405,1
"Cavendish, Mrs. Julia Florence",female,25.0,1st,S,United States,19877.0,78.17,1
"Cavendish, Mr. Tyrell William",male,36.0,1st,S,England,19877.0,78.17,0
"Celotti, Mr. Francesco",male,24.0,3rd,S,,343275.0,8.01,0
"Chaffee, Mr. Herbert Fuller",male,46.0,1st,S,United States,5734.0,61.0306,0
"Chaffee, Mrs. Carrie Constance",female,47.0,1st,S,United States,5734.0,61.0306,1
"Chambers, Mr. Norman Campbell",male,27.0,1st,S,United States,113806.0,53.02,1
"Chambers, Mrs. Bertha",female,32.0,1st,S,United States,113806.0,53.02,1
"Chapman, Mr. Charles Henry",male,52.0,2nd,S,United States,248731.0,13.1,0
"Chapman, Mr. John Henry",male,37.0,2nd,S,England,29037.0,26.0,0
"Chapman, Mrs. Sara Elizabeth",female,29.0,2nd,S,England,29037.0,26.0,0
"Charters, Mr. David",male,20.0,3rd,Q,Ireland,13032.0,7.1408,0
"Chaudanson, Miss. Victorine",female,36.0,1st,C,,17608.0,262.0706,1
"Cherry, Miss. Gladys",female,30.0,1st,S,England,110152.0,86.1,1
"Chevré, Mr. Paul Romaine Marie Léonce",male,45.0,1st,C,Belgium,17594.0,29.14,1
"Chibnall, Mrs. Edith Martha Bowerman",female,48.0,1st,S,England,113505.0,55.0,1
"Chip, Mr. Chang",male,32.0,3rd,S,,1601.0,56.0911,1
"Chisholm, Mr. Roderick Robert Crispin",male,43.0,1st,B,Scotland,112051.0,,0
"Christmann, Mr. Emil",male,29.0,3rd,S,England,343276.0,8.01,0
"Christy, Miss. Rachel Juli Cohen",female,25.0,2nd,S,England,237789.0,30.0,1
"Christy, Mrs. Alice Frances",female,52.0,2nd,S,England,237789.0,30.0,1
"Chronopoulos, Mr. Apostolos M.",male,26.0,3rd,C,,2680.0,14.0901,0
"Chronopoulos, Mr. Dimitrios M.",male,21.0,3rd,C,,2680.0,14.0901,0
"Clarke, Mr. Charles Valentine",male,29.0,2nd,S,England,2003.0,26.0,0
"Clarke, Mr. John Frederick Preston",male,28.0,2nd,S,England,250654.0,,0
"Clarke, Mrs. Ada Maria",female,28.0,2nd,S,England,2003.0,27.0,1
"Clark, Mrs. Virginia Estelle",female,26.0,1st,C,United States,13508.0,136.1507,1
"Clark, Mr. Walter Miller",male,27.0,1st,C,United States,13508.0,136.1507,0
"Cleaver, Miss. Alice Catherine",female,22.0,1st,S,England,113781.0,151.16,1
"Clifford, Mr. George Quincy",male,40.0,1st,S,United States,110465.0,52.0,0
"Coelho, Mr. Domingos Fernandeo",male,20.0,3rd,S,,3101307.0,7.01,0
"Cohen, Mr. Gurshon",male,18.0,3rd,S,England,3540.0,8.01,1
"Colbert, Mr. Patrick",male,24.0,3rd,Q,Ireland,371109.0,7.05,0
"Coleff, Mr. Satio",male,24.0,3rd,S,Bulgaria,349209.0,7.1711,0
"Coleridge, Mr. Reginald Charles",male,29.0,2nd,S,England,14263.0,10.1,0
"Collander, Mr. Erik Gustaf",male,27.0,2nd,S,Finland,248740.0,13.0,0
"Collett, Mr. Sidney Clarence Stuart",male,25.0,2nd,S,England,28034.0,10.1,1
"Colley, Mr. Edward Pomeroy",male,37.0,1st,S,Ireland,5727.0,25.1109,0
"Collyer, Miss. Marjorie Lottie",female,8.0,2nd,S,England,31921.0,26.05,1
"Collyer, Mr. Harvey",male,31.0,2nd,S,England,31921.0,26.05,0
"Collyer, Mrs. Charlotte Caroline",female,30.0,2nd,S,England,31921.0,26.05,1
"Coltcheff, Mr. Peju",male,36.0,3rd,S,Bulgaria,349210.0,7.1711,0
"Compton, Miss. Sara Rebecca",female,39.0,1st,C,United States,17756.0,83.0302,1
"Compton, Mr. Alexander Taylor jr",male,37.0,1st,C,United States,17756.0,83.0302,0
"Compton, Mrs. Mary Eliza",female,64.0,1st,C,United States,17756.0,83.0302,1
"Conlin, Mr. Thomas Henry",male,31.0,3rd,Q,United States,21332.0,7.1408,0
"Connaughton, Mr. Michael",male,40.0,3rd,Q,Ireland,335097.0,7.15,0
"Connolly, Miss. Catherine",female,23.0,3rd,Q,Ireland,370373.0,7.15,1
"Connolly, Miss. Kate",female,41.0,3rd,Q,Ireland,330972.0,7.1207,0
"Connors, Mr. Patrick",male,66.0,3rd,Q,Ireland,370369.0,7.15,0
"Cook, Mr. Jacob",male,43.0,3rd,S,,3536.0,8.01,0
"Cook, Mrs. Selena",female,22.0,2nd,S,England,14266.0,10.1,1
"Corbett, Mrs. Irene",female,30.0,2nd,S,United States,237249.0,13.0,0
"Corey, Mrs. Mary Emma",female,32.0,2nd,S,,13534.0,21.0,0
"Cor, Mr. Bartol",male,35.0,3rd,S,Croatia (Modern),349230.0,7.1711,0
"Cor, Mr. Ivan",male,27.0,3rd,S,Hungary,349229.0,7.1711,0
"Cor, Mr. Liudevit",male,19.0,3rd,S,Hungary,349231.0,7.1711,0
"Cornblatt, Mr. Harris",male,30.0,3rd,S,Poland,392090.0,8.01,0
"Cornell, Mrs. Malvina Helen",female,55.0,1st,S,United States,11770.0,25.141,1
"Corr, Miss. Ellen",female,16.0,3rd,Q,Ireland,367231.0,7.15,1
"Cotterill, Mr. Henry",male,21.0,2nd,S,England,29107.0,11.1,0
"Coutts, Master. Neville Leslie",male,3.0,3rd,S,England,37671.0,15.18,1
"Coutts, Master. William Loch",male,9.0,3rd,S,England,37671.0,15.18,1
"Coutts, Mrs. Winnie",female,36.0,3rd,S,England,37671.0,15.18,1
"Coxon, Mr. Daniel",male,58.0,3rd,S,England,364500.0,7.05,0
"Crafton, Mr. John Bertram",male,59.0,1st,S,United States,113791.0,26.11,0
"Crease, Mr. Ernest James",male,20.0,3rd,S,United States,3464.0,8.0302,0
"Cribb, Miss. Laura Mae",female,16.0,3rd,S,United States,371362.0,16.02,1
"Cribb, Mr. John Hatfield",male,43.0,3rd,S,Australia,371362.0,16.02,0
"Crosby, Captain. Edward Gifford",male,70.0,1st,S,United States,5735.0,71.0,0
"Crosby, Miss. Harriette Rebecca",female,39.0,1st,S,United States,112901.0,26.11,1
"Crosby, Mrs. Catherine Elizabeth",female,64.0,1st,S,United States,5735.0,71.0,1
"Culumovic, Mr. Jeso",male,17.0,3rd,S,Croatia (Modern),315090.0,8.1303,0
"Cumings, Mr. John Bradley",male,39.0,1st,C,United States,17599.0,71.0508,0
"Cumings, Mrs. Florence Briggs",female,35.0,1st,C,Peru,17599.0,71.0508,1
"Cunningham, Mr. Alfred Fleming",male,22.0,2nd,B,Northern Ireland,239853.0,,0
"Daher, Mr. Tannous",male,28.0,3rd,C,,2686.0,7.0407,0
"Dahlberg, Miss. Gerda Ulrika",female,22.0,3rd,S,Sweden,7552.0,10.1004,0
"Dahl, Mr. Charles Edward",male,45.0,3rd,S,,7598.0,8.01,1
"Dakic, Mr. Branko",male,19.0,3rd,S,,349228.0,10.0305,0
"Daly, Miss. Margaret Marcella",female,33.0,3rd,Q,Ireland,382650.0,6.19,1
"Daly, Mr. Eugene Patrick",male,29.0,3rd,Q,Ireland,382651.0,7.15,1
"Daly, Mr. Peter Dennis",male,51.0,1st,S,England,113055.0,26.11,1
"Danbom, Master. Gilbert Sigvard Emanuel",male,0.3333333333,3rd,S,Sweden,347080.0,14.08,0
"Danbom, Mr. Ernst Gilbert",male,34.0,3rd,S,Sweden,347080.0,14.08,0
"Danbom, Mrs. Anna Sigrid Maria",female,28.0,3rd,S,Sweden,347080.0,14.08,0
"Daniel, Mr. Robert Williams",male,27.0,1st,S,United States,113804.0,30.1,1
"Daniels, Miss. Sarah Rebecca",female,36.0,1st,S,England,113781.0,151.16,1
"Danoff, Mr. Yoto",male,27.0,3rd,S,,349219.0,7.1711,0
"Davidson, Mrs. Orian",female,27.0,1st,C,Canada,12750.0,52.0,1
"Davidson, Mr. Thornton",male,31.0,1st,C,Canada,12750.0,52.0,0
"Davies, Master. John Morgan jr",male,8.0,2nd,S,England,33112.0,36.15,1
"Davies, Mr. Alfred James",male,24.0,3rd,S,England,48871.0,24.03,0
"Davies, Mr. Charles Henry",male,19.0,2nd,S,England,14879.0,73.1,0
"Davies, Mr. Evan Lewis",male,22.0,3rd,S,Wales,23568.0,8.01,0
"Davies, Mr. John",male,22.0,3rd,S,England,48871.0,24.03,0
"Davies, Mr. Joseph",male,17.0,3rd,S,England,48873.0,8.01,0
"Davies, Mrs. Agnes",female,48.0,2nd,S,England,33112.0,36.15,1
"Davis, Miss. Mary Ann Charlotte",female,28.0,2nd,S,England,237668.0,13.0,1
"Davison, Mrs. Mary Elizabeth",female,34.0,3rd,S,England,386525.0,16.02,1
"Davison, Mr. Thomas Henry",male,32.0,3rd,S,England,386525.0,16.02,0
"Deacon, Mr. Percy William",male,18.0,2nd,S,England,14879.0,73.1,0
