InvoiceNo,InvoiceDate,CustomerID,Description,Category,Quantity,UnitPrice,Profile_Source_For_Mentor,TotalAmount
502324,2025-01-04,10344,Baby Diapers,Baby Care,2,635.68,Loyal,1271.36
502324,2025-01-04,10344,Baby Wipes,Baby Care,1,166.92,Loyal,166.92
502324,2025-01-04,10344,Baby Lotion,Baby Care,2,236.68,Loyal,473.36
502347,2025-01-04,10347,Novel,Books,2,243.29,Champions,486.58
502347,2025-01-04,10347,Exam Guide,Books,1,443.41,Champions,443.41
502347,2025-01-04,10347,Butter,Grocery,2,93.85,Champions,187.7
500165,2025-01-05,10026,Phone Case,Tech,2,322.57,Loyal,645.14
500165,2025-01-05,10026,Screen Guard,Tech,2,206.69,Loyal,413.38
500165,2025-01-05,10026,USB Cable,Tech,1,189.2,Loyal,189.2
500165,2025-01-05,10026,Dumbbell Pair,Fitness,1,1153.97,Loyal,1153.97
500842,2025-01-05,10126,Dog Food,Pet Care,1,767.92,Lost,767.92
500842,2025-01-05,10126,Pet Shampoo,Pet Care,4,254.42,Lost,1017.68
501565,2025-01-05,10228,Yoga Mat,Fitness,1,637.38,Lost,637.38
501565,2025-01-05,10228,Protein Bar,Fitness,1,82.04,Lost,82.04
501565,2025-01-05,10228,Water Bottle,Lifestyle,1,242.77,Lost,242.77
501705,2025-01-05,10253,Dog Food,Pet Care,1,867.23,Loyal,867.23
501705,2025-01-05,10253,Pet Shampoo,Pet Care,1,248.0,Loyal,248.0
501705,2025-01-05,10253,Yoga Mat,Fitness,1,625.37,Loyal,625.37
501847,2025-01-05,10278,Novel,Books,1,239.54,At Risk,239.54
501847,2025-01-05,10278,Exam Guide,Books,1,409.32,At Risk,409.32
501947,2025-01-05,10292,Phone Case,Tech,1,310.65,Lost,310.65
501947,2025-01-05,10292,Screen Guard,Tech,1,204.64,Lost,204.64
501947,2025-01-05,10292,USB Cable,Tech,1,165.91,Lost,165.91
501947,2025-01-05,10292,Baby Wipes,Baby Care,3,162.78,Lost,488.34
502331,2025-01-05,10345,Lunch Box,Lifestyle,1,366.64,At Risk,366.64
502331,2025-01-05,10345,Water Bottle,Lifestyle,2,254.67,At Risk,509.34
500492,2025-01-06,10074,Lunch Box,Lifestyle,1,366.16,At Risk,366.16
500492,2025-01-06,10074,Water Bottle,Lifestyle,2,271.63,At Risk,543.26
501148,2025-01-06,10169,Novel,Books,1,235.16,At Risk,235.16
501148,2025-01-06,10169,Exam Guide,Books,2,382.71,At Risk,765.42
502024,2025-01-06,10303,Notebook,Stationery,1,59.12,At Risk,59.12
502024,2025-01-06,10303,Pen Pack,Stationery,1,37.78,At Risk,37.78
502024,2025-01-06,10303,Highlighter,Stationery,1,80.6,At Risk,80.6
502024,2025-01-06,10303,Baby Lotion,Baby Care,1,232.65,At Risk,232.65
502230,2025-01-06,10332,Tea Pack,Grocery,2,112.59,Champions,225.18
502230,2025-01-06,10332,Sugar,Grocery,2,54.68,Champions,109.36
502230,2025-01-06,10332,Milk,Grocery,1,38.02,Champions,38.02
500341,2025-01-07,10051,Baby Diapers,Baby Care,4,526.61,Lost,2106.44
500341,2025-01-07,10051,Baby Wipes,Baby Care,2,172.38,Lost,344.76
500341,2025-01-07,10051,Baby Lotion,Baby Care,1,236.25,Lost,236.25
500601,2025-01-07,10086,Phone Case,Tech,2,303.54,At Risk,607.08
500601,2025-01-07,10086,Screen Guard,Tech,1,209.46,At Risk,209.46
500601,2025-01-07,10086,USB Cable,Tech,1,186.2,At Risk,186.2
500848,2025-01-07,10128,Lunch Box,Lifestyle,2,327.32,Champions,654.64
500848,2025-01-07,10128,Water Bottle,Lifestyle,1,260.2,Champions,260.2
501255,2025-01-07,10185,Notebook,Stationery,1,65.9,At Risk,65.9
501255,2025-01-07,10185,Pen Pack,Stationery,3,36.17,At Risk,108.51
501255,2025-01-07,10185,Highlighter,Stationery,1,77.03,At Risk,77.03
501255,2025-01-07,10185,Highlighter,Stationery,1,75.17,At Risk,75.17
501295,2025-01-07,10192,Lunch Box,Lifestyle,1,350.27,Lost,350.27
501295,2025-01-07,10192,Water Bottle,Lifestyle,2,259.09,Lost,518.18
501578,2025-01-07,10232,Lunch Box,Lifestyle,2,330.87,New,661.74
501578,2025-01-07,10232,Water Bottle,Lifestyle,1,248.31,New,248.31
502175,2025-01-07,10325,Baby Diapers,Baby Care,1,551.16,At Risk,551.16
502175,2025-01-07,10325,Baby Wipes,Baby Care,1,179.74,At Risk,179.74
502175,2025-01-07,10325,Baby Lotion,Baby Care,1,227.35,At Risk,227.35
502175,2025-01-07,10325,Dog Food,Pet Care,2,832.19,At Risk,1664.38
500653,2025-01-08,10098,Novel,Books,1,248.71,Champions,248.71
500653,2025-01-08,10098,Exam Guide,Books,1,414.8,Champions,414.8
501065,2025-01-08,10159,Coffee Powder,Grocery,3,180.93,At Risk,542.79
501065,2025-01-08,10159,Sugar,Grocery,1,55.6,At Risk,55.6
501065,2025-01-08,10159,Milk,Grocery,1,36.05,At Risk,36.05
501083,2025-01-08,10161,Dog Food,Pet Care,2,802.41,At Risk,1604.82
501083,2025-01-08,10161,Pet Shampoo,Pet Care,1,263.15,At Risk,263.15
501133,2025-01-08,10168,Tea Pack,Grocery,1,116.16,Champions,116.16
501133,2025-01-08,10168,Sugar,Grocery,1,59.8,Champions,59.8
501133,2025-01-08,10168,Milk,Grocery,2,34.5,Champions,69.0
501200,2025-01-08,10176,Tea Pack,Grocery,1,118.16,At Risk,118.16
501200,2025-01-08,10176,Sugar,Grocery,1,55.83,At Risk,55.83
501200,2025-01-08,10176,Milk,Grocery,1,37.25,At Risk,37.25
501603,2025-01-08,10236,Baby Diapers,Baby Care,1,546.43,Loyal,546.43
501603,2025-01-08,10236,Baby Wipes,Baby Care,4,172.46,Loyal,689.84
501603,2025-01-08,10236,Baby Lotion,Baby Care,1,221.32,Loyal,221.32
501681,2025-01-08,10249,Lunch Box,Lifestyle,2,322.68,Lost,645.36
501681,2025-01-08,10249,Water Bottle,Lifestyle,1,253.03,Lost,253.03
501681,2025-01-08,10249,Milk,Grocery,1,36.92,Lost,36.92
501733,2025-01-08,10259,Yoga Mat,Fitness,1,638.37,Champions,638.37
501733,2025-01-08,10259,Protein Bar,Fitness,1,89.99,Champions,89.99
501733,2025-01-08,10259,Water Bottle,Lifestyle,1,281.2,Champions,281.2
501763,2025-01-08,10262,Notebook,Stationery,1,59.59,Champions,59.59
501763,2025-01-08,10262,Pen Pack,Stationery,2,39.23,Champions,78.46
501763,2025-01-08,10262,Highlighter,Stationery,1,76.11,Champions,76.11
501829,2025-01-08,10274,Dog Food,Pet Care,3,819.25,New,2457.75
501829,2025-01-08,10274,Pet Shampoo,Pet Care,1,236.0,New,236.0
501829,2025-01-08,10274,Jam,Grocery,2,122.49,New,244.98
502021,2025-01-08,10302,Novel,Books,1,266.13,New,266.13
502021,2025-01-08,10302,Exam Guide,Books,2,404.33,New,808.66
502021,2025-01-08,10302,Baby Diapers,Baby Care,1,596.77,New,596.77
502075,2025-01-09,10312,Yoga Mat,Fitness,4,621.66,Champions,2486.64
502075,2025-01-09,10312,Protein Bar,Fitness,2,86.88,Champions,173.76
502075,2025-01-09,10312,Water Bottle,Lifestyle,1,244.16,Champions,244.16
500148,2025-01-10,10022,Tea Pack,Grocery,2,120.46,Loyal,240.92
500148,2025-01-10,10022,Sugar,Grocery,1,58.66,Loyal,58.66
500148,2025-01-10,10022,Milk,Grocery,2,33.15,Loyal,66.3
500217,2025-01-10,10032,Notebook,Stationery,2,59.88,Champions,119.76
500217,2025-01-10,10032,Pen Pack,Stationery,1,42.52,Champions,42.52
500217,2025-01-10,10032,Highlighter,Stationery,1,69.53,Champions,69.53
500430,2025-01-10,10064,Yoga Mat,Fitness,2,719.62,Loyal,1439.24
500430,2025-01-10,10064,Protein Bar,Fitness,1,85.2,Loyal,85.2
500430,2025-01-10,10064,Water Bottle,Lifestyle,2,222.9,Loyal,445.8
500430,2025-01-10,10064,Screen Guard,Tech,2,191.47,Loyal,382.94
500693,2025-01-10,10101,Lunch Box,Lifestyle,1,366.94,At Risk,366.94
500693,2025-01-10,10101,Water Bottle,Lifestyle,2,266.91,At Risk,533.82
501066,2025-01-10,10159,Bread,Grocery,1,45.91,At Risk,45.91
501066,2025-01-10,10159,Butter,Grocery,1,92.01,At Risk,92.01
501066,2025-01-10,10159,Jam,Grocery,2,102.51,At Risk,205.02
501066,2025-01-10,10159,Dog Food,Pet Care,1,838.77,At Risk,838.77
501073,2025-01-10,10160,Lunch Box,Lifestyle,2,385.56,Loyal,771.12
501073,2025-01-10,10160,Water Bottle,Lifestyle,1,247.9,Loyal,247.9
501073,2025-01-10,10160,Dog Food,Pet Care,1,810.05,Loyal,810.05
501866,2025-01-10,10282,Baby Diapers,Baby Care,2,494.96,Loyal,989.92
501866,2025-01-10,10282,Baby Wipes,Baby Care,1,190.32,Loyal,190.32
501866,2025-01-10,10282,Baby Lotion,Baby Care,1,216.57,Loyal,216.57
501971,2025-01-10,10296,Lunch Box,Lifestyle,1,350.88,Lost,350.88
501971,2025-01-10,10296,Water Bottle,Lifestyle,2,248.84,Lost,497.68
502337,2025-01-10,10346,Phone Case,Tech,1,277.79,At Risk,277.79
502337,2025-01-10,10346,Screen Guard,Tech,1,209.13,At Risk,209.13
502337,2025-01-10,10346,USB Cable,Tech,1,187.22,At Risk,187.22
500272,2025-01-11,10040,Baby Diapers,Baby Care,3,557.08,Champions,1671.24
500272,2025-01-11,10040,Baby Wipes,Baby Care,2,178.14,Champions,356.28
500272,2025-01-11,10040,Baby Lotion,Baby Care,3,265.37,Champions,796.11
500305,2025-01-11,10044,Phone Case,Tech,1,323.54,Loyal,323.54
500305,2025-01-11,10044,Screen Guard,Tech,1,178.61,Loyal,178.61
500305,2025-01-11,10044,USB Cable,Tech,1,205.8,Loyal,205.8
500305,2025-01-11,10044,Jam,Grocery,1,119.53,Loyal,119.53
500328,2025-01-11,10049,Yoga Mat,Fitness,1,641.1,Loyal,641.1
500328,2025-01-11,10049,Protein Bar,Fitness,2,93.33,Loyal,186.66
500328,2025-01-11,10049,Water Bottle,Lifestyle,3,249.79,Loyal,749.37
500733,2025-01-11,10108,Notebook,Stationery,1,61.33,Loyal,61.33
500733,2025-01-11,10108,Pen Pack,Stationery,1,38.99,Loyal,38.99
500733,2025-01-11,10108,Highlighter,Stationery,2,76.99,Loyal,153.98
500948,2025-01-11,10143,Novel,Books,4,228.81,Loyal,915.24
500948,2025-01-11,10143,Exam Guide,Books,1,423.61,Loyal,423.61
500948,2025-01-11,10143,USB Cable,Tech,1,172.45,Loyal,172.45
501247,2025-01-11,10183,Baby Diapers,Baby Care,1,601.44,Lost,601.44
501247,2025-01-11,10183,Baby Wipes,Baby Care,1,184.79,Lost,184.79
501247,2025-01-11,10183,Baby Lotion,Baby Care,1,220.06,Lost,220.06
501453,2025-01-11,10214,Dog Food,Pet Care,4,807.85,At Risk,3231.4
501453,2025-01-11,10214,Pet Shampoo,Pet Care,2,238.66,At Risk,477.32
501780,2025-01-11,10265,Novel,Books,1,252.87,At Risk,252.87
501780,2025-01-11,10265,Exam Guide,Books,3,453.11,At Risk,1359.33
501794,2025-01-11,10267,Phone Case,Tech,1,318.92,At Risk,318.92
501794,2025-01-11,10267,Screen Guard,Tech,2,226.87,At Risk,453.74
501794,2025-01-11,10267,USB Cable,Tech,1,178.8,At Risk,178.8
501794,2025-01-11,10267,Exam Guide,Books,2,402.88,At Risk,805.76
501855,2025-01-11,10279,Dog Food,Pet Care,1,735.62,Lost,735.62
501855,2025-01-11,10279,Pet Shampoo,Pet Care,2,266.8,Lost,533.6
501855,2025-01-11,10279,Sugar,Grocery,1,57.49,Lost,57.49
501924,2025-01-11,10290,Lunch Box,Lifestyle,2,384.91,Champions,769.82
501924,2025-01-11,10290,Water Bottle,Lifestyle,1,253.47,Champions,253.47
501948,2025-01-11,10292,Baby Diapers,Baby Care,2,587.52,Lost,1175.04
501948,2025-01-11,10292,Baby Wipes,Baby Care,4,168.18,Lost,672.72
501948,2025-01-11,10292,Baby Lotion,Baby Care,1,235.54,Lost,235.54
501948,2025-01-11,10292,Butter,Grocery,1,95.95,Lost,95.95
502338,2025-01-11,10346,Tea Pack,Grocery,2,123.04,At Risk,246.08
502338,2025-01-11,10346,Sugar,Grocery,2,53.0,At Risk,106.0
502338,2025-01-11,10346,Milk,Grocery,3,34.95,At Risk,104.85
500085,2025-01-12,10011,Lunch Box,Lifestyle,2,378.55,High Value Rare,757.1
500085,2025-01-12,10011,Water Bottle,Lifestyle,1,246.41,High Value Rare,246.41
500450,2025-01-12,10068,Yoga Mat,Fitness,1,608.8,Champions,608.8
500450,2025-01-12,10068,Protein Bar,Fitness,1,92.38,Champions,92.38
500450,2025-01-12,10068,Water Bottle,Lifestyle,2,211.62,Champions,423.24
500450,2025-01-12,10068,Bluetooth Earbuds,Tech,1,1448.53,Champions,1448.53
500500,2025-01-12,10075,Notebook,Stationery,2,66.84,At Risk,133.68
500500,2025-01-12,10075,Pen Pack,Stationery,1,38.72,At Risk,38.72
500500,2025-01-12,10075,Highlighter,Stationery,1,71.19,At Risk,71.19
500500,2025-01-12,10075,Jam,Grocery,2,111.59,At Risk,223.18
501134,2025-01-12,10168,Novel,Books,1,260.75,Champions,260.75
501134,2025-01-12,10168,Exam Guide,Books,1,408.81,Champions,408.81
501134,2025-01-12,10168,Pet Shampoo,Pet Care,1,267.61,Champions,267.61
501389,2025-01-12,10207,Novel,Books,1,264.87,At Risk,264.87
501389,2025-01-12,10207,Exam Guide,Books,1,417.85,At Risk,417.85
501421,2025-01-12,10211,Notebook,Stationery,2,56.71,At Risk,113.42
501421,2025-01-12,10211,Pen Pack,Stationery,1,46.66,At Risk,46.66
501421,2025-01-12,10211,Highlighter,Stationery,4,65.51,At Risk,262.04
501604,2025-01-12,10236,Baby Diapers,Baby Care,3,499.12,Loyal,1497.36
501604,2025-01-12,10236,Baby Wipes,Baby Care,1,173.8,Loyal,173.8
501604,2025-01-12,10236,Baby Lotion,Baby Care,1,239.33,Loyal,239.33
501604,2025-01-12,10236,Screen Guard,Tech,2,201.37,Loyal,402.74
500129,2025-01-13,10020,Coffee Powder,Grocery,1,175.06,At Risk,175.06
500129,2025-01-13,10020,Sugar,Grocery,1,55.61,At Risk,55.61
500129,2025-01-13,10020,Milk,Grocery,2,36.07,At Risk,72.14
500156,2025-01-13,10023,Yoga Mat,Fitness,2,659.92,Loyal,1319.84
500156,2025-01-13,10023,Protein Bar,Fitness,2,99.52,Loyal,199.04
500156,2025-01-13,10023,Water Bottle,Lifestyle,1,248.13,Loyal,248.13
500602,2025-01-13,10086,Dog Food,Pet Care,1,687.03,At Risk,687.03
500602,2025-01-13,10086,Pet Shampoo,Pet Care,1,272.99,At Risk,272.99
500807,2025-01-13,10118,Notebook,Stationery,2,56.88,Lost,113.76
500807,2025-01-13,10118,Pen Pack,Stationery,1,39.78,Lost,39.78
500807,2025-01-13,10118,Highlighter,Stationery,1,69.76,Lost,69.76
500968,2025-01-13,10145,Novel,Books,1,253.41,Champions,253.41
500968,2025-01-13,10145,Exam Guide,Books,1,390.92,Champions,390.92
500968,2025-01-13,10145,Lunch Box,Lifestyle,1,343.21,Champions,343.21
501422,2025-01-13,10211,Novel,Books,1,232.01,At Risk,232.01
501422,2025-01-13,10211,Exam Guide,Books,1,452.89,At Risk,452.89
502122,2025-01-13,10318,Baby Diapers,Baby Care,1,580.05,Champions,580.05
502122,2025-01-13,10318,Baby Wipes,Baby Care,1,188.18,Champions,188.18
502122,2025-01-13,10318,Baby Lotion,Baby Care,1,251.98,Champions,251.98
500062,2025-01-14,10008,Lunch Box,Lifestyle,1,339.04,At Risk,339.04
500062,2025-01-14,10008,Water Bottle,Lifestyle,2,258.47,At Risk,516.94
500062,2025-01-14,10008,Coffee Powder,Grocery,2,168.68,At Risk,337.36
500094,2025-01-14,10014,Novel,Books,1,227.21,Loyal,227.21
500094,2025-01-14,10014,Exam Guide,Books,2,348.63,Loyal,697.26
500164,2025-01-14,10025,Bread,Grocery,1,45.9,Lost,45.9
500164,2025-01-14,10025,Butter,Grocery,1,96.5,Lost,96.5
500164,2025-01-14,10025,Jam,Grocery,1,118.07,Lost,118.07
500190,2025-01-14,10030,Yoga Mat,Fitness,1,651.41,At Risk,651.41
500190,2025-01-14,10030,Protein Bar,Fitness,1,97.2,At Risk,97.2
500190,2025-01-14,10030,Water Bottle,Lifestyle,1,263.93,At Risk,263.93
500694,2025-01-14,10101,Coffee Powder,Grocery,1,192.45,At Risk,192.45
500694,2025-01-14,10101,Sugar,Grocery,1,55.68,At Risk,55.68
500694,2025-01-14,10101,Milk,Grocery,1,33.28,At Risk,33.28
500796,2025-01-14,10117,Tea Pack,Grocery,1,129.39,Loyal,129.39
500796,2025-01-14,10117,Sugar,Grocery,1,60.98,Loyal,60.98
500796,2025-01-14,10117,Milk,Grocery,1,31.26,Loyal,31.26
500796,2025-01-14,10117,Baby Diapers,Baby Care,1,576.26,Loyal,576.26
501682,2025-01-14,10250,Coffee Powder,Grocery,1,181.07,Loyal,181.07
501682,2025-01-14,10250,Sugar,Grocery,1,51.63,Loyal,51.63
501682,2025-01-14,10250,Milk,Grocery,4,36.74,Loyal,146.96
501826,2025-01-14,10272,Tea Pack,Grocery,1,125.92,Lost,125.92
501826,2025-01-14,10272,Sugar,Grocery,2,54.13,Lost,108.26
501826,2025-01-14,10272,Milk,Grocery,2,35.52,Lost,71.04
502278,2025-01-14,10336,Yoga Mat,Fitness,1,673.19,Lost,673.19
502278,2025-01-14,10336,Protein Bar,Fitness,1,86.73,Lost,86.73
502278,2025-01-14,10336,Water Bottle,Lifestyle,2,242.81,Lost,485.62
500409,2025-01-15,10061,Bread,Grocery,1,44.82,Loyal,44.82
500409,2025-01-15,10061,Butter,Grocery,3,99.03,Loyal,297.09
500409,2025-01-15,10061,Jam,Grocery,1,114.71,Loyal,114.71
500409,2025-01-15,10061,Bluetooth Earbuds,Tech,1,1493.35,Loyal,1493.35
500618,2025-01-15,10090,Coffee Powder,Grocery,1,166.58,Champions,166.58
500618,2025-01-15,10090,Sugar,Grocery,1,51.13,Champions,51.13
500618,2025-01-15,10090,Milk,Grocery,1,38.62,Champions,38.62
501296,2025-01-15,10192,Baby Diapers,Baby Care,1,556.44,Lost,556.44
501296,2025-01-15,10192,Baby Wipes,Baby Care,2,196.7,Lost,393.4
501296,2025-01-15,10192,Baby Lotion,Baby Care,1,217.67,Lost,217.67
501347,2025-01-15,10202,Yoga Mat,Fitness,1,672.69,Champions,672.69
501347,2025-01-15,10202,Protein Bar,Fitness,1,93.52,Champions,93.52
501347,2025-01-15,10202,Water Bottle,Lifestyle,1,242.77,Champions,242.77
501347,2025-01-15,10202,Notebook,Stationery,1,65.16,Champions,65.16
501972,2025-01-15,10296,Phone Case,Tech,1,310.49,Lost,310.49
501972,2025-01-15,10296,Screen Guard,Tech,1,200.85,Lost,200.85
501972,2025-01-15,10296,USB Cable,Tech,1,157.92,Lost,157.92
502153,2025-01-15,10322,Tea Pack,Grocery,1,114.29,At Risk,114.29
502153,2025-01-15,10322,Sugar,Grocery,1,60.89,At Risk,60.89
502153,2025-01-15,10322,Milk,Grocery,1,33.16,At Risk,33.16
502153,2025-01-15,10322,Phone Case,Tech,3,294.74,At Risk,884.22
502281,2025-01-15,10337,Yoga Mat,Fitness,2,612.46,At Risk,1224.92
502281,2025-01-15,10337,Protein Bar,Fitness,3,92.59,At Risk,277.77
502281,2025-01-15,10337,Water Bottle,Lifestyle,1,258.4,At Risk,258.4
502281,2025-01-15,10337,Tea Pack,Grocery,4,111.14,At Risk,444.56
500572,2025-01-16,10083,Notebook,Stationery,1,59.63,Champions,59.63
500572,2025-01-16,10083,Pen Pack,Stationery,1,40.6,Champions,40.6
500572,2025-01-16,10083,Highlighter,Stationery,1,74.57,Champions,74.57
500969,2025-01-16,10145,Coffee Powder,Grocery,1,163.47,Champions,163.47
500969,2025-01-16,10145,Sugar,Grocery,1,58.52,Champions,58.52
500969,2025-01-16,10145,Milk,Grocery,1,35.87,Champions,35.87
500969,2025-01-16,10145,USB Cable,Tech,1,181.35,Champions,181.35
501052,2025-01-16,10157,Tea Pack,Grocery,2,107.14,Lost,214.28
501052,2025-01-16,10157,Sugar,Grocery,1,56.49,Lost,56.49
501052,2025-01-16,10157,Milk,Grocery,1,34.8,Lost,34.8
501052,2025-01-16,10157,Milk,Grocery,2,39.24,Lost,78.48
501234,2025-01-16,10181,Baby Diapers,Baby Care,2,526.03,Champions,1052.06
501234,2025-01-16,10181,Baby Wipes,Baby Care,3,181.3,Champions,543.9
501234,2025-01-16,10181,Baby Lotion,Baby Care,1,244.21,Champions,244.21
501234,2025-01-16,10181,Pen Pack,Stationery,1,41.01,Champions,41.01
501478,2025-01-16,10217,Tea Pack,Grocery,1,114.78,At Risk,114.78
501478,2025-01-16,10217,Sugar,Grocery,1,53.62,At Risk,53.62
501478,2025-01-16,10217,Milk,Grocery,1,34.46,At Risk,34.46
501534,2025-01-16,10224,Tea Pack,Grocery,1,126.99,Loyal,126.99
501534,2025-01-16,10224,Sugar,Grocery,1,48.92,Loyal,48.92
501534,2025-01-16,10224,Milk,Grocery,1,31.73,Loyal,31.73
501534,2025-01-16,10224,Sugar,Grocery,1,54.21,Loyal,54.21
501656,2025-01-16,10244,Baby Diapers,Baby Care,1,579.82,Champions,579.82
501656,2025-01-16,10244,Baby Wipes,Baby Care,3,196.24,Champions,588.72
501656,2025-01-16,10244,Baby Lotion,Baby Care,1,229.41,Champions,229.41
500478,2025-01-17,10072,Dog Food,Pet Care,1,817.09,Champions,817.09
500478,2025-01-17,10072,Pet Shampoo,Pet Care,2,247.19,Champions,494.38
500478,2025-01-17,10072,Notebook,Stationery,1,58.53,Champions,58.53
500595,2025-01-17,10085,Phone Case,Tech,1,309.52,Loyal,309.52
500595,2025-01-17,10085,Screen Guard,Tech,2,175.2,Loyal,350.4
500595,2025-01-17,10085,USB Cable,Tech,1,182.8,Loyal,182.8
501360,2025-01-17,10204,Phone Case,Tech,1,311.66,At Risk,311.66
501360,2025-01-17,10204,Screen Guard,Tech,2,208.21,At Risk,416.42
501360,2025-01-17,10204,USB Cable,Tech,1,168.0,At Risk,168.0
501764,2025-01-17,10262,Novel,Books,2,227.64,Champions,455.28
501764,2025-01-17,10262,Exam Guide,Books,1,401.42,Champions,401.42
501764,2025-01-17,10262,Phone Case,Tech,1,263.92,Champions,263.92
502154,2025-01-17,10322,Novel,Books,1,249.94,At Risk,249.94
502154,2025-01-17,10322,Exam Guide,Books,1,420.65,At Risk,420.65
502154,2025-01-17,10322,Phone Case,Tech,1,328.69,At Risk,328.69
502240,2025-01-17,10333,Coffee Powder,Grocery,1,179.64,Champions,179.64
502240,2025-01-17,10333,Sugar,Grocery,1,54.8,Champions,54.8
502240,2025-01-17,10333,Milk,Grocery,1,31.6,Champions,31.6
502240,2025-01-17,10333,Bread,Grocery,1,44.01,Champions,44.01
502348,2025-01-17,10347,Bread,Grocery,3,47.4,Champions,142.2
502348,2025-01-17,10347,Butter,Grocery,1,87.91,Champions,87.91
502348,2025-01-17,10347,Jam,Grocery,1,107.07,Champions,107.07
502348,2025-01-17,10347,Exam Guide,Books,2,444.24,Champions,888.48
500166,2025-01-18,10026,Dog Food,Pet Care,2,789.76,Loyal,1579.52
500166,2025-01-18,10026,Pet Shampoo,Pet Care,1,269.35,Loyal,269.35
