CustomerID,Gaming,Fitness,Home_Office,Kitchen,Luxury,Outdoor,DIY,Pet_Care,Books,Tech_Gadgets,Total_Spent,Frequency,Recency
5041,1,1,7,11,0,1,9,1,0,0,2192,9,22
5042,0,0,1,0,0,1,1,1,8,1,286,3,78
5043,8,0,0,1,0,0,1,1,0,5,2890,25,5
5044,11,0,1,0,0,1,0,0,1,7,2565,16,5
5045,0,0,0,1,0,1,0,1,4,1,352,2,36
5046,1,1,7,10,0,1,6,0,0,0,2165,6,26
5047,0,0,1,1,13,1,0,0,0,4,9186,2,40
5048,1,10,0,0,1,4,1,1,1,1,1434,5,7
5049,1,0,6,10,0,0,5,0,1,0,1484,7,25
5050,0,1,3,5,0,0,4,0,1,0,2196,8,31
5051,0,9,0,1,1,8,1,1,1,1,507,14,16
5052,1,1,1,1,1,1,0,0,6,1,244,1,62
5053,0,1,3,7,0,1,8,0,1,1,1249,10,39
5054,0,0,0,1,8,1,0,1,1,4,12449,3,39
5055,0,0,0,0,14,0,0,0,0,3,7000,1,45
5056,0,0,0,0,0,0,1,1,8,0,177,1,30
5057,0,1,1,0,15,1,1,1,1,4,5249,2,17
5058,1,0,7,11,0,1,8,0,0,0,1377,5,16
5059,6,1,1,1,1,1,1,0,0,6,1748,15,1
5060,1,1,0,1,0,0,0,0,4,1,429,1,98
5061,0,1,0,1,16,0,1,0,0,4,12350,3,25
5062,6,1,1,1,1,0,0,1,0,7,4181,28,3
5063,1,1,1,0,19,0,1,0,0,3,7593,1,28
5064,0,8,1,0,0,8,1,0,1,1,836,14,8
5065,0,0,0,1,17,0,0,1,1,5,13150,2,38
5066,1,1,0,1,0,0,0,0,6,1,338,4,47
5067,0,0,4,5,0,0,4,1,1,0,925,11,26
5068,0,11,1,0,0,5,1,0,1,0,1122,12,12
5069,0,1,7,7,1,1,8,1,1,0,2200,3,30
5070,12,1,0,1,1,1,0,1,1,9,2660,12,3
5071,10,1,1,0,1,1,1,1,0,8,4428,15,3
5072,1,0,0,1,17,0,0,1,0,3,13915,1,34
5073,0,9,1,1,1,8,0,1,0,0,758,5,10
5074,1,6,0,1,1,8,0,1,1,1,828,5,13
5075,1,1,7,8,1,0,5,0,1,1,1175,11,11
5076,13,0,1,1,1,1,1,0,1,7,3817,12,5
5077,6,0,1,1,1,1,0,0,1,9,2115,23,3
5078,0,0,0,0,0,0,0,0,5,0,408,4,80
5079,1,1,3,11,0,1,8,1,1,0,1277,9,36
5080,1,0,0,0,0,0,0,0,9,1,421,2,34
5081,0,1,1,0,15,0,1,0,1,4,8228,1,43
5082,1,8,1,0,0,6,0,1,1,1,568,8,15
5083,1,1,1,1,17,0,1,1,0,2,12783,2,32
5084,0,1,1,0,1,1,1,1,8,0,427,3,60
5085,1,0,0,1,1,0,1,0,9,0,200,1,65
5086,13,0,0,1,0,0,1,0,0,7,4708,19,4
5087,1,0,0,0,1,0,1,0,5,1,446,1,72
5088,5,0,1,1,0,0,1,1,0,3,1784,20,6
5089,1,11,0,0,0,7,0,0,1,1,562,12,5
5090,1,11,1,0,0,8,1,0,1,1,804,12,7
5091,10,0,0,1,1,1,1,0,1,5,2330,13,1
5092,0,6,0,1,1,7,0,1,1,1,1299,6,11
5093,0,0,0,0,1,0,0,0,9,1,348,3,96
5094,1,0,1,1,18,1,1,1,1,5,9547,1,35
5095,0,1,6,9,1,0,6,0,0,0,2108,4,11
5096,0,1,0,1,11,1,0,0,0,2,5804,2,44
5097,0,11,0,1,1,6,1,1,0,1,1226,5,6
5098,8,0,1,1,0,0,0,0,1,4,1941,22,2
5099,0,6,1,1,0,8,1,0,1,1,652,10,14
5100,0,1,1,0,0,0,0,1,5,1,367,1,82
5101,10,0,1,0,1,1,1,1,1,5,4366,13,3
5102,0,8,1,0,1,9,0,0,0,1,597,11,19
5103,1,0,1,0,11,1,0,1,0,4,12101,3,59
5104,12,1,1,0,0,0,1,0,0,4,1524,16,3
5105,0,1,1,0,19,1,1,1,0,4,9090,1,31
5106,0,0,0,1,12,1,1,0,1,2,6750,1,30
5107,0,1,0,1,17,0,1,0,0,5,9806,1,37
5108,1,1,7,6,0,0,6,0,0,1,1393,6,16
5109,0,1,5,9,1,0,5,0,1,1,1604,10,35
5110,1,0,0,1,0,1,0,1,5,0,260,4,71
5111,1,0,0,1,9,1,0,0,0,5,8810,3,53
5112,13,1,0,0,1,0,1,0,1,4,4473,16,4
5113,1,0,0,0,1,1,1,1,9,1,392,1,77
5114,14,0,0,0,0,0,1,1,1,7,3608,14,6
5115,0,1,1,0,11,0,1,0,0,4,12827,1,59
5116,9,1,0,1,0,0,1,0,1,7,1553,24,7
5117,0,1,1,0,8,0,1,0,1,5,13194,3,52
5118,0,0,0,0,1,1,0,1,6,0,222,4,58
5119,0,1,1,1,18,0,1,0,0,3,14175,3,52
5120,0,10,1,1,1,8,1,1,0,1,1092,6,12
5121,1,0,0,1,8,1,1,1,1,3,9311,3,30
5122,0,0,0,1,0,0,0,0,5,0,455,3,56
5123,0,0,0,0,1,0,0,0,5,1,259,3,82
5124,0,1,1,1,1,0,0,1,8,1,145,3,46
5125,11,1,1,1,0,0,1,1,0,4,2756,11,5
5126,10,1,1,1,1,1,0,1,0,3,2385,10,6
5127,0,1,1,1,1,0,0,1,6,0,480,4,36
5128,6,1,0,0,1,0,0,1,0,8,2237,13,1
5129,8,0,0,0,0,0,0,1,1,8,3062,12,1
5130,1,1,0,0,10,1,0,0,1,2,10626,1,52
5131,0,8,1,0,0,7,1,1,0,1,929,13,5
5132,9,0,0,1,1,1,0,0,0,6,1877,12,4
5133,0,1,1,0,0,1,1,1,9,0,418,2,31
5134,0,1,0,0,1,0,1,1,9,1,194,2,61
5135,0,0,1,1,0,1,0,1,4,1,175,1,75
5136,5,1,1,1,1,0,1,1,1,4,3772,10,9
5137,0,11,1,1,1,5,1,1,0,1,642,6,14
5138,11,1,0,0,0,0,1,0,1,9,2939,18,2
5139,1,1,1,1,18,1,0,0,0,5,5207,2,36
5140,0,0,7,11,1,1,7,1,1,1,2360,5,35
5141,1,9,0,1,0,5,0,0,1,0,1465,6,7
5142,1,10,0,0,0,9,1,0,0,0,1458,5,11
5143,1,0,6,8,0,1,9,0,1,1,1755,10,27
5144,1,0,1,1,9,1,1,1,1,5,14989,3,56
5145,1,1,0,1,8,0,1,1,0,4,8591,2,37
5146,1,1,1,0,0,0,1,0,9,1,415,1,43
5147,0,1,7,6,1,0,6,0,0,1,1060,3,17
5148,1,0,4,6,0,0,8,0,1,1,1643,11,10
5149,1,0,7,7,0,1,8,1,1,0,2027,7,26
5150,1,1,1,0,9,1,1,0,0,3,5968,3,51
5151,0,0,0,0,8,0,0,0,0,4,6229,2,34
5152,1,0,0,1,15,0,1,0,0,4,11570,2,37
5153,1,0,1,1,0,1,1,1,5,1,440,1,37
5154,14,0,0,1,0,1,0,0,0,8,3661,27,1
5155,0,1,0,1,8,1,0,1,1,4,8124,1,55
5156,13,1,1,1,1,0,0,0,0,7,4136,18,4
5157,1,1,1,1,0,1,1,1,6,0,464,3,30
5158,9,0,0,0,0,0,1,1,0,5,4375,10,1
5159,0,1,3,6,0,0,9,1,1,1,1826,7,35
5160,1,1,1,0,12,1,0,1,0,4,13234,3,20
5161,1,0,0,0,0,0,0,0,8,0,223,3,54
5162,0,0,1,0,0,1,0,1,7,0,472,4,56
5163,1,0,1,1,11,1,1,1,1,3,9445,3,21
5164,1,0,0,0,0,0,1,0,5,0,135,4,97
5165,10,0,1,1,0,1,0,0,0,8,2800,18,9
5166,1,1,0,0,1,1,1,1,6,1,392,4,79
5167,1,1,0,1,0,1,0,1,5,0,168,3,78
5168,1,0,0,0,0,1,1,0,7,0,259,3,39
5169,0,7,0,1,0,6,1,0,0,0,1053,10,17
5170,0,0,0,1,1,1,0,1,5,1,387,3,65
5171,8,1,0,0,1,0,0,1,0,7,4108,11,5
5172,14,0,1,1,1,1,0,1,1,5,1841,15,2
5173,1,1,0,0,19,0,1,1,1,3,8374,1,30
5174,1,0,7,7,1,0,9,1,1,1,2102,5,17
5175,10,1,1,1,0,0,1,0,1,4,1955,16,1
5176,1,1,1,1,0,1,1,0,8,1,165,1,31
5177,0,0,0,0,14,1,0,1,1,3,6442,2,57
5178,1,0,4,9,1,0,6,1,1,1,2493,8,12
5179,1,1,0,0,0,0,1,0,5,0,305,4,39
5180,0,0,1,0,13,0,1,0,1,3,7530,1,20
5181,8,1,1,0,1,1,0,0,1,4,4536,15,2
5182,0,0,0,0,0,1,1,0,6,1,277,1,60
5183,0,0,0,0,0,0,0,1,6,1,362,4,45
5184,8,1,0,1,0,0,0,1,1,6,1623,15,7
5185,0,1,0,1,1,0,0,0,9,1,113,3,34
5186,14,1,0,0,1,1,0,0,1,9,2400,10,5
5187,0,0,0,1,8,0,1,1,0,5,9798,1,40
5188,10,1,1,1,1,1,0,0,0,4,3568,19,1
5189,0,1,0,0,17,1,1,1,0,3,8897,1,42
5190,1,1,0,1,1,0,0,0,8,0,168,4,73
5191,0,1,7,7,0,0,4,0,0,0,947,7,17
5192,1,8,0,1,0,5,0,0,1,0,760,9,18
5193,1,1,1,1,15,1,1,1,0,5,13551,1,23
5194,1,7,0,1,1,9,1,0,0,0,1266,6,14
5195,1,0,1,1,1,0,0,1,7,1,325,3,39
5196,1,6,0,0,0,5,0,1,1,1,1289,8,18
5197,1,1,0,1,14,1,0,0,1,4,9875,1,32
5198,1,0,1,1,1,1,1,0,6,1,355,2,51
5199,1,1,0,0,18,1,0,0,0,3,14678,3,37
5200,0,1,0,0,10,0,1,0,0,4,7460,2,53
5201,0,1,5,8,1,1,8,1,1,0,1248,6,17
5202,6,1,1,0,0,1,0,1,1,3,3659,22,9
5203,1,1,3,6,1,1,8,1,1,0,1843,5,32
5204,0,0,4,10,0,0,6,1,1,1,2292,8,17
5205,11,1,1,1,1,0,0,1,0,6,4792,23,3
5206,6,1,0,1,1,1,1,1,1,5,3706,28,1
5207,0,1,1,0,1,1,1,1,7,0,291,3,77
5208,1,9,0,0,0,6,0,1,0,0,802,13,16
5209,0,11,1,1,1,7,0,0,0,1,574,11,13
5210,0,0,1,0,13,1,0,0,0,2,7757,1,59
5211,0,1,0,1,1,0,0,0,7,0,148,1,93
5212,1,1,3,5,0,0,7,0,0,1,2005,11,29
5213,1,0,1,1,1,1,1,1,6,0,319,2,39
5214,1,8,1,0,0,7,1,0,0,1,1349,14,15
5215,12,1,0,0,0,1,0,0,1,5,2671,24,7
5216,1,10,1,1,1,6,0,1,0,1,1098,14,9
5217,0,0,6,6,1,1,8,0,0,0,1694,11,16
5218,0,0,1,0,0,1,1,1,9,0,276,1,99
5219,1,7,1,0,0,5,1,1,0,1,643,7,17
5220,1,1,0,1,1,1,0,1,6,1,418,1,93
5221,0,10,1,0,1,9,1,1,0,1,1127,13,12
5222,1,0,0,1,8,1,1,0,1,3,14203,3,20
5223,0,9,0,1,0,5,0,0,0,1,507,12,16
5224,1,0,0,1,0,0,0,0,5,1,141,4,99
5225,0,1,0,0,0,0,1,0,4,1,319,1,37
5226,1,1,0,0,16,1,1,1,1,5,12183,1,59
5227,0,1,0,1,14,1,1,1,0,5,13004,1,17
5228,0,1,6,9,1,1,4,0,0,1,2309,4,15
5229,1,0,0,1,0,1,1,0,5,1,230,4,59
5230,13,1,1,1,1,0,0,0,1,5,2442,27,9
5231,1,1,7,5,1,0,7,0,0,0,1071,4,11
5232,1,8,0,0,1,7,1,1,0,1,941,13,19
5233,0,9,0,0,0,4,1,1,1,1,1050,13,7
5234,6,1,0,0,1,0,0,0,0,8,4097,23,4
5235,1,11,0,1,0,5,0,1,0,0,1113,11,10
5236,0,1,0,0,14,0,0,1,1,3,12230,1,33
5237,1,1,1,0,8,1,1,0,1,5,6762,1,28
5238,1,0,1,1,1,1,0,0,4,1,219,3,84
5239,1,0,7,9,1,0,8,1,1,1,2127,6,14
5240,0,0,6,5,0,0,8,0,0,1,1237,11,28
5241,0,1,1,0,11,1,1,0,0,4,6478,2,26
5242,1,1,3,11,1,0,9,0,0,1,1372,8,35
5243,0,1,1,0,10,0,0,0,0,5,11892,1,27
5244,0,1,7,11,1,0,8,1,0,1,1503,8,39
5245,1,6,0,0,0,8,0,0,0,0,1203,7,15
5246,9,0,0,1,1,0,1,1,1,7,4839,25,1
5247,0,1,1,0,14,0,0,1,0,2,10806,2,32
5248,8,0,0,1,1,0,0,0,1,3,1831,28,9
5249,0,0,0,1,9,0,0,0,1,4,12544,3,42
5250,6,0,0,1,0,1,0,1,1,3,1767,12,1
5251,12,1,0,0,1,0,0,0,0,3,4865,20,2
5252,0,0,6,7,1,1,6,1,1,1,1995,11,32
5253,1,7,1,0,0,7,1,1,0,1,1432,11,8
5254,7,0,0,1,0,0,1,1,1,5,4554,20,1
5255,8,0,1,1,1,1,1,1,1,3,3400,27,5
5256,1,8,0,0,0,6,1,0,1,1,733,7,6
5257,0,9,0,1,1,8,1,0,0,1,534,11,10
5258,1,0,0,0,0,0,0,1,8,0,323,4,51
5259,0,0,4,7,1,0,6,0,0,0,2177,5,35
5260,12,0,1,0,1,0,0,1,0,7,4030,22,2
5261,0,0,7,6,1,1,6,1,0,1,1798,7,17
5262,10,0,1,1,0,0,1,0,0,7,4711,20,7
5263,7,1,1,0,1,1,1,1,0,4,4875,21,4
5264,0,0,1,1,18,0,0,1,1,4,7808,3,31
5265,1,0,1,1,10,0,0,0,1,5,6863,1,31
5266,0,1,1,0,0,1,0,0,9,0,288,3,51
5267,0,0,1,1,1,1,1,0,5,1,268,4,64
5268,0,11,0,0,0,6,1,1,0,1,564,8,13
5269,0,0,0,1,1,0,1,1,4,0,263,3,95
5270,7,0,1,1,1,1,1,1,0,5,2409,22,2
5271,10,0,1,1,1,1,0,0,1,6,3869,11,8
5272,1,8,0,0,1,9,1,1,1,0,1232,11,9
5273,0,0,1,0,16,0,0,0,0,3,5182,3,46
5274,1,1,6,8,1,1,9,1,1,1,852,10,24
5275,0,1,4,10,0,1,5,1,0,0,1153,11,21
5276,0,0,3,5,0,1,5,1,1,1,1189,7,21
5277,0,1,0,0,0,0,0,0,7,1,199,2,44
5278,0,0,1,1,14,1,0,0,0,3,6948,1,41
5279,0,1,0,0,15,0,0,0,0,5,5522,1,18
5280,1,0,0,1,0,0,1,0,8,0,403,3,57
5281,0,0,1,1,14,1,0,1,0,2,7257,1,27
5282,1,1,7,8,1,0,8,1,1,0,961,11,33
5283,1,1,0,1,13,1,1,0,1,3,10184,1,57
5284,0,11,1,1,1,8,1,0,0,1,1176,10,12
5285,0,1,1,1,19,0,0,0,1,3,9979,1,57
5286,1,1,1,1,8,1,0,1,1,5,7745,3,56
5287,1,0,1,0,1,0,1,1,4,0,154,2,36
5288,1,8,1,1,0,4,1,0,0,1,659,12,5
5289,1,1,0,1,0,1,1,0,8,0,197,2,57
5290,1,0,5,8,1,1,5,0,0,0,1966,8,18
5291,1,8,0,1,0,6,0,1,0,0,960,9,12
5292,0,0,1,0,0,0,0,0,9,1,287,1,76
5293,12,1,1,0,1,0,1,1,0,8,3196,27,6
5294,0,1,4,10,0,1,9,1,1,1,2413,5,39
5295,1,1,0,0,9,0,0,1,0,4,9958,2,55
5296,9,1,1,1,1,0,1,1,0,3,3821,28,7
5297,6,1,1,1,1,1,0,0,0,3,2118,20,5
5298,1,0,1,0,8,1,1,1,1,4,10158,1,34
5299,1,0,5,8,0,0,5,1,0,1,969,10,11
5300,1,0,6,9,0,0,5,0,1,0,2088,8,33
5301,1,0,0,1,11,0,0,0,0,2,14821,3,49
5302,0,1,1,0,18,0,1,0,1,3,8008,2,15
5303,14,1,1,0,1,0,0,0,0,3,2924,11,8
5304,0,7,0,1,0,6,0,0,0,1,902,11,19
5305,1,1,0,0,9,1,0,1,1,5,8180,1,22
5306,7,1,0,1,1,1,0,0,1,7,3420,12,8
5307,0,0,1,1,9,1,1,1,1,2,11614,1,37
5308,0,1,0,1,13,0,0,0,1,2,14865,3,53
5309,0,11,0,1,0,6,0,1,1,1,1010,8,19
5310,0,0,3,7,1,1,9,0,1,0,2205,8,13
5311,1,1,0,1,17,1,0,1,0,3,9538,2,23
5312,1,8,1,0,0,8,1,1,0,0,1368,10,5
5313,0,0,3,11,0,0,6,1,1,0,1806,9,35
5314,1,0,0,1,0,0,0,0,9,1,439,4,32
5315,14,1,1,0,0,0,1,0,0,9,4671,13,2
5316,11,1,0,1,1,1,0,1,1,6,4275,28,6
5317,0,1,5,9,0,0,9,1,1,1,1458,11,29
5318,1,0,1,1,1,0,0,0,9,0,474,3,45
5319,0,1,1,1,12,1,0,0,1,4,5139,1,20
5320,0,6,1,0,1,6,0,0,1,1,1225,9,15
5321,11,0,1,0,0,1,1,0,0,5,1627,29,8
5322,1,11,0,1,1,5,0,1,0,1,824,13,9
5323,6,0,0,0,0,1,0,0,0,3,3326,25,2
5324,1,11,1,1,0,7,0,0,0,0,1486,13,10
5325,0,1,0,0,1,1,0,1,9,0,306,3,39
5326,1,1,5,8,0,1,4,1,1,0,1977,11,19
5327,0,1,0,1,0,0,1,1,9,1,124,1,57
5328,0,1,0,0,0,1,0,0,4,1,336,2,61
5329,1,1,0,1,1,0,1,1,6,1,440,3,54
5330,0,1,3,5,0,0,6,0,1,1,1864,4,29
5331,0,6,0,0,0,4,1,0,1,0,865,9,15
5332,1,7,0,1,0,9,1,0,0,1,803,11,14
5333,0,0,1,0,13,0,1,1,0,2,6014,3,22
5334,5,0,0,0,1,0,0,0,0,8,4096,18,2
5335,0,1,0,1,0,0,1,1,7,1,213,4,66
5336,1,1,0,1,1,0,1,0,9,1,355,3,90
5337,1,1,7,5,0,0,4,1,1,1,1807,7,26
5338,9,1,0,0,0,0,1,0,0,3,1695,21,8
5339,0,0,6,10,1,1,8,0,0,0,1421,3,19
5340,1,11,0,0,0,4,1,0,0,0,1129,9,14
5341,1,0,1,0,12,0,0,1,0,4,7700,2,37
5342,0,1,3,10,0,1,4,1,1,1,1437,5,23
5343,11,1,0,1,1,0,1,1,0,9,4305,28,6
5344,1,8,1,0,0,6,0,0,1,0,829,12,19
5345,0,1,1,0,0,1,0,1,8,1,147,1,93
5346,0,1,1,1,10,0,0,0,1,4,5816,3,15
5347,14,0,0,0,0,0,0,0,0,6,2667,18,8
5348,0,0,1,1,0,0,1,0,9,0,438,3,95
5349,0,0,6,6,1,1,9,1,1,0,1550,11,17
5350,1,1,0,0,11,1,1,0,0,5,5634,2,43
5351,0,1,5,8,1,0,7,1,1,0,1945,4,39
5352,0,1,0,1,11,0,1,0,1,5,5249,2,51
5353,1,0,5,8,1,0,8,0,0,1,1382,11,37
5354,1,7,1,0,0,8,0,1,1,1,1256,10,18
5355,12,0,0,0,1,1,1,1,0,7,2454,11,1
5356,1,1,3,10,0,1,9,1,0,1,1038,5,15
5357,0,0,1,0,1,1,0,1,6,0,455,3,51
5358,14,0,0,1,1,0,0,1,1,7,3887,21,1
5359,0,0,4,9,1,0,7,1,0,0,1701,11,33
5360,1,8,0,0,0,4,0,1,1,1,681,10,15
5361,0,0,0,0,10,0,1,0,0,4,11396,1,49
5362,7,0,0,1,0,1,0,1,1,8,1665,23,8
5363,1,1,1,0,0,1,0,1,8,0,440,1,39
5364,1,6,0,0,0,7,1,1,0,0,547,7,11
5365,1,1,0,1,19,0,0,0,0,3,10232,2,34
5366,1,0,1,0,15,1,0,0,1,4,14290,1,58
5367,0,0,3,11,0,1,7,1,0,0,2478,10,21
5368,5,0,0,0,1,1,1,1,1,9,4630,20,8
5369,1,1,0,1,12,1,1,0,0,2,7789,2,50
5370,14,1,1,1,0,1,1,1,0,8,2139,29,4
5371,1,8,0,0,1,8,0,0,1,1,714,12,19
5372,9,1,0,1,0,0,0,0,0,8,3913,29,7
5373,1,0,6,6,1,1,5,0,1,0,1369,4,36
5374,1,1,6,10,1,0,4,1,0,0,855,9,17
5375,1,9,0,1,1,8,1,0,1,0,512,8,9
5376,10,0,1,1,1,0,1,0,1,4,1530,20,5
5377,1,1,3,11,1,0,4,1,1,1,2070,11,32
5378,12,1,0,1,0,0,1,1,0,3,2922,19,7
5379,0,1,0,1,16,1,0,0,1,4,8915,2,33
5380,0,0,1,1,1,0,0,1,9,0,496,1,35
5381,0,1,5,5,0,1,8,1,0,1,1285,8,33
5382,10,0,1,0,0,1,1,1,1,9,1571,15,3
5383,1,0,1,0,11,0,0,0,0,2,9820,2,34
5384,1,10,0,0,0,4,1,0,1,1,1449,8,5
5385,0,0,5,7,1,1,5,0,0,1,1580,9,14
5386,0,0,4,11,1,1,8,0,0,1,1037,4,22
5387,1,0,1,0,0,1,0,1,7,0,301,4,82
5388,7,1,0,0,1,0,1,0,0,5,2621,25,9
5389,1,9,0,1,0,4,1,1,0,1,606,12,14
5390,0,10,0,0,0,9,1,1,0,0,841,6,10
5391,5,0,1,1,0,0,0,0,0,7,4686,11,8
5392,1,0,0,1,14,1,1,1,1,2,12538,2,40
5393,1,1,0,1,19,1,0,0,1,3,11226,2,49
5394,12,0,1,0,1,1,1,1,0,4,4447,15,9
5395,1,8,0,1,0,5,0,0,0,1,1419,10,14
5396,1,1,1,1,18,0,1,0,0,5,5270,3,26
5397,1,1,0,1,11,0,1,1,1,4,14903,3,15
5398,1,1,7,9,0,0,9,0,1,1,2304,6,15
5399,1,1,1,1,0,1,0,0,5,0,488,2,76
5400,12,1,0,1,0,1,1,0,1,4,3685,29,1
5401,10,0,1,0,1,0,0,0,0,7,4768,18,2
5402,1,0,1,0,1,1,1,0,6,0,480,2,87
5403,0,1,3,9,1,0,4,0,0,1,1560,8,19
5404,0,1,1,0,8,1,1,1,0,3,13848,2,31
5405,0,10,0,1,1,6,1,0,0,1,768,5,19
5406,0,7,1,0,1,8,0,0,0,1,1485,8,10
5407,11,1,1,1,0,0,1,1,0,9,1518,20,3
5408,5,1,1,0,1,1,1,1,1,9,3910,27,1
5409,1,0,5,10,1,1,7,1,0,0,1531,6,22
5410,1,6,1,0,0,8,1,1,0,0,1461,12,11
5411,0,0,1,0,9,1,0,1,1,3,10316,1,43
5412,1,10,1,0,0,9,1,1,1,1,1119,8,17
5413,1,1,1,0,11,1,1,0,0,3,7671,3,17
5414,0,0,1,1,13,1,0,0,0,5,12701,1,34
5415,0,11,0,0,1,4,0,1,1,0,1029,5,15
5416,0,1,0,0,16,0,0,1,1,5,7017,1,39
5417,1,0,1,1,1,0,0,0,6,1,215,4,39
5418,0,7,0,1,0,7,0,0,1,1,620,14,6
5419,10,1,0,0,1,0,0,0,1,3,2887,20,4
5420,1,1,0,0,14,0,0,1,0,3,9670,1,57
5421,0,0,1,1,19,1,0,1,1,3,14117,3,30
5422,0,11,1,1,0,7,0,0,0,1,1286,14,9
5423,0,0,1,0,13,0,1,0,1,5,13975,2,19
5424,1,0,0,0,11,0,0,1,1,3,5691,3,50
5425,8,0,1,1,1,0,0,0,1,4,3373,14,4
5426,0,0,1,1,1,0,1,1,4,1,205,3,36
5427,9,1,0,1,0,0,0,0,0,4,1686,29,2
5428,1,0,1,1,1,1,0,0,4,0,494,3,33
5429,0,1,1,0,0,0,0,1,7,0,280,2,31
5430,1,1,0,1,0,1,1,0,6,0,111,3,56
5431,1,0,4,5,1,1,8,1,1,1,1243,10,10
5432,0,1,1,0,0,1,1,0,7,0,341,3,56
5433,1,1,1,0,1,1,1,0,4,1,109,4,77
5434,13,1,0,0,1,1,1,1,0,8,4765,24,5
5435,0,0,4,10,1,1,5,0,1,1,1131,8,33
5436,0,1,1,1,8,1,0,1,1,2,12697,2,17
5437,0,11,1,0,0,9,0,1,0,1,895,5,17
5438,0,0,1,1,19,1,0,0,1,3,12940,1,41
5439,1,1,5,5,0,0,7,0,0,0,1933,8,39
5440,1,0,4,5,0,0,9,0,1,0,1636,11,17
5441,10,1,0,1,0,0,0,1,1,4,4075,12,4
5442,0,0,5,10,0,0,8,1,0,1,2496,5,37
5443,10,1,1,1,0,1,0,0,1,5,4673,22,9
5444,1,7,0,0,1,5,0,1,1,1,1251,7,14
5445,0,11,0,1,1,6,1,0,0,1,1165,14,15
5446,1,0,0,1,19,1,1,1,0,2,6466,2,21
5447,0,1,0,1,1,1,1,1,8,0,145,1,42
5448,1,1,0,1,1,1,0,1,9,0,221,3,83
5449,0,0,3,9,0,0,6,1,0,1,1987,5,39
5450,0,1,4,5,1,0,6,0,1,1,1306,7,31
5451,1,1,0,0,1,0,1,0,4,0,429,2,86
5452,0,1,1,0,1,0,0,1,5,1,103,1,33
5453,1,10,0,0,1,6,0,0,0,1,791,6,8
5454,8,1,1,0,1,1,1,0,1,7,3052,16,7
5455,1,1,7,6,1,1,8,1,1,1,1056,9,35
5456,9,1,1,1,1,0,0,1,0,8,3580,19,5
5457,1,0,0,0,1,0,1,0,6,0,289,1,44
5458,0,0,1,1,1,0,0,0,9,1,285,1,88
5459,6,1,0,1,1,0,1,0,1,6,1882,15,9
5460,0,0,3,7,0,1,4,1,1,1,1753,8,14
5461,1,0,1,0,1,0,0,1,8,0,222,3,32
5462,7,0,0,0,1,1,0,1,0,5,2403,17,7
5463,7,1,0,0,0,0,1,0,1,3,3881,22,5
5464,5,0,1,1,0,1,1,0,0,4,3014,25,8
5465,0,6,1,0,0,7,1,1,1,1,1388,11,15
